threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
0.15	97	3	6	173	5	168	1	0	23.066666666666666	0.028901734104046242	0.8333333333333334	0.055865921787709494	7.283236994219653
0.15	106	1	1	55	0	51	1	4	7.2	0.0	0.0	0.0	7.083333333333333
0.16	2	1	2	107	1	106	1	0	8.858333333333333	0.009345794392523364	0.5	0.01834862385321101	11.966133584195674
0.16	3	1	4	47	3	44	1	0	8.316666666666666	0.06382978723404255	0.75	0.11764705882352941	5.290581162324649
0.16	4	1	1	82	1	81	0	0	8.258333333333333	0.012195121951219513	1.0	0.024096385542168676	9.808274470232089
0.16	5	1	0	54	0	52	0	2	7.733333333333333	0.0		0.0	6.724137931034483
0.16	15	2	5	91	5	86	0	0	16.616666666666667	0.054945054945054944	1.0	0.10416666666666667	5.175526579739217
0.16	17	1	3	146	0	146	3	0	8.966666666666667	0.0	0.0	0.0	16.28252788104089
0.16	37	1	0	87	0	86	0	1	7.991666666666666	0.0		0.0	10.761209593326383
0.16	40	1	0	97	0	96	0	1	7.133333333333334	0.0		0.0	13.457943925233645
0.16	44	1	0	107	0	107	0	0	8.558333333333334	0.0		0.0	12.502434274586173
0.16	48	1	0	53	0	51	0	2	7.341666666666667	0.0		0.0	6.946651532349603
0.16	55	1	0	80	0	80	0	0	7.416666666666667	0.0		0.0	10.786516853932584
0.16	64	1	5	91	4	87	1	0	8.983333333333333	0.04395604395604396	0.8	0.08333333333333333	9.684601113172542
0.16	73	1	3	82	3	79	0	0	7.866666666666666	0.036585365853658534	1.0	0.07058823529411765	10.042372881355933
0.16	89	2	7	92	4	88	3	0	15.05	0.043478260869565216	0.5714285714285714	0.08080808080808081	5.847176079734219
0.16	97	3	6	165	5	160	1	0	23.066666666666666	0.030303030303030304	0.8333333333333334	0.05847953216374269	6.936416184971098
0.16	106	1	1	51	0	47	1	4	7.2	0.0	0.0	0.0	6.527777777777778
0.17	2	1	2	104	1	103	1	0	8.858333333333333	0.009615384615384616	0.5	0.018867924528301886	11.6274694261524
0.17	3	1	4	46	3	43	1	0	8.316666666666666	0.06521739130434782	0.75	0.12	5.170340681362726
0.17	4	1	1	79	1	78	0	0	8.258333333333333	0.012658227848101266	1.0	0.025	9.445005045408678
0.17	5	1	0	52	0	50	0	2	7.733333333333333	0.0		0.0	6.4655172413793105
0.17	15	2	5	91	5	86	0	0	16.616666666666667	0.054945054945054944	1.0	0.10416666666666667	5.175526579739217
0.17	17	1	3	144	0	144	3	0	8.966666666666667	0.0	0.0	0.0	16.059479553903344
0.17	37	1	0	88	0	87	0	1	7.991666666666666	0.0		0.0	10.886339937434828
0.17	40	1	0	104	0	103	0	1	7.133333333333334	0.0		0.0	14.439252336448597
0.17	44	1	0	104	0	104	0	0	8.558333333333334	0.0		0.0	12.151898734177214
0.17	48	1	0	47	0	45	0	2	7.341666666666667	0.0		0.0	6.129398410896708
0.17	55	1	0	81	0	81	0	0	7.416666666666667	0.0		0.0	10.92134831460674
0.17	64	1	5	84	4	80	1	0	8.983333333333333	0.047619047619047616	0.8	0.0898876404494382	8.905380333951763
0.17	73	1	3	81	3	78	0	0	7.866666666666666	0.037037037037037035	1.0	0.07142857142857142	9.915254237288137
0.17	89	2	7	94	4	90	3	0	15.05	0.0425531914893617	0.5714285714285714	0.07920792079207921	5.980066445182724
0.17	97	3	6	161	5	156	1	0	23.066666666666666	0.031055900621118012	0.8333333333333334	0.059880239520958084	6.763005780346821
0.17	106	1	1	47	0	43	1	4	7.2	0.0	0.0	0.0	5.972222222222222
0.18	2	1	2	103	1	102	1	0	8.858333333333333	0.009708737864077669	0.5	0.01904761904761905	11.514581373471309
0.18	3	1	4	42	3	39	1	0	8.316666666666666	0.07142857142857142	0.75	0.13043478260869565	4.68937875751503
0.18	4	1	1	76	1	75	0	0	8.258333333333333	0.013157894736842105	1.0	0.025974025974025976	9.081735620585269
0.18	5	1	0	51	0	49	0	2	7.733333333333333	0.0		0.0	6.336206896551724
0.18	15	2	5	91	5	86	0	0	16.616666666666667	0.054945054945054944	1.0	0.10416666666666667	5.175526579739217
0.18	17	1	3	138	0	138	3	0	8.966666666666667	0.0	0.0	0.0	15.390334572490707
0.18	37	1	0	85	0	84	0	1	7.991666666666666	0.0		0.0	10.51094890510949
0.18	40	1	0	99	0	98	0	1	7.133333333333334	0.0		0.0	13.738317757009344
0.18	44	1	0	104	0	104	0	0	8.558333333333334	0.0		0.0	12.151898734177214
0.18	48	1	0	47	0	45	0	2	7.341666666666667	0.0		0.0	6.129398410896708
0.18	55	1	0	75	0	75	0	0	7.416666666666667	0.0		0.0	10.112359550561797
0.18	64	1	5	79	4	75	1	0	8.983333333333333	0.05063291139240506	0.8	0.09523809523809523	8.348794063079778
0.18	73	1	3	78	3	75	0	0	7.866666666666666	0.038461538461538464	1.0	0.07407407407407407	9.533898305084746
0.18	89	2	7	96	4	92	3	0	15.05	0.041666666666666664	0.5714285714285714	0.07766990291262135	6.112956810631229
0.18	97	3	6	159	5	154	1	0	23.066666666666666	0.031446540880503145	0.8333333333333334	0.06060606060606061	6.676300578034682
0.18	106	1	1	46	0	42	1	4	7.2	0.0	0.0	0.0	5.833333333333333
0.19	2	1	2	103	1	102	1	0	8.858333333333333	0.009708737864077669	0.5	0.01904761904761905	11.514581373471309
0.19	3	1	4	39	3	36	1	0	8.316666666666666	0.07692307692307693	0.75	0.13953488372093023	4.328657314629258
0.19	4	1	1	71	1	70	0	0	8.258333333333333	0.014084507042253521	1.0	0.027777777777777776	8.476286579212918
0.19	5	1	0	51	0	49	0	2	7.733333333333333	0.0		0.0	6.336206896551724
0.19	15	2	5	84	5	79	0	0	16.616666666666667	0.05952380952380952	1.0	0.11235955056179775	4.754262788365095
0.19	17	1	3	132	0	132	3	0	8.966666666666667	0.0	0.0	0.0	14.721189591078067
0.19	37	1	0	83	0	82	0	1	7.991666666666666	0.0		0.0	10.260688216892596
0.19	40	1	0	98	0	97	0	1	7.133333333333334	0.0		0.0	13.598130841121495
0.19	44	1	0	96	0	96	0	0	8.558333333333334	0.0		0.0	11.21713729308666
0.19	48	1	0	46	0	44	0	2	7.341666666666667	0.0		0.0	5.993189557321226
0.19	55	1	0	70	0	70	0	0	7.416666666666667	0.0		0.0	9.438202247191011
0.19	64	1	5	72	4	68	1	0	8.983333333333333	0.05555555555555555	0.8	0.1038961038961039	7.569573283858999
0.19	73	1	3	80	3	77	0	0	7.866666666666666	0.0375	1.0	0.07228915662650602	9.788135593220339
