fusion	partition	subject	pid	cluster_index	event_time_sec	cluster_start_sec	cluster_stop_sec	cluster_span_sec	contributor_count	contributors	source_alarm_count	source_alarm_ids	retained
P6-H2-OR	validation	sub-124	15	4	19230.0	19230.0	19230.0	0.0	1	P6-D	1	P6-D:sub-124:19230.0	True
P6-H2-OR	validation	sub-124	15	5	25770.0	25770.0	25770.0	0.0	2	P6-D;H2-D	2	H2-D:sub-124:25770.0;P6-D:sub-124:25770.0	True
P6-H2-OR	validation	sub-124	15	6	26220.0	26220.0	26220.0	0.0	1	P6-D	1	P6-D:sub-124:26220.0	True
P6-H2-OR	validation	sub-126	106	0	1260.0	1260.0	1260.0	0.0	1	H2-D	1	H2-D:sub-126:1260.0	True
P6-H2-OR	validation	sub-126	106	1	1530.0	1530.0	1530.0	0.0	1	P6-D	1	P6-D:sub-126:1530.0	True
P6-H2-OR	validation	sub-126	106	2	3090.0	3090.0	3090.0	0.0	1	H2-D	1	H2-D:sub-126:3090.0	True
P6-H2-OR	validation	sub-126	106	3	7560.0	7560.0	7560.0	0.0	1	H2-D	1	H2-D:sub-126:7560.0	True
P6-H2-OR	validation	sub-126	106	4	9510.0	9510.0	9510.0	0.0	1	H2-D	1	H2-D:sub-126:9510.0	True
P6-H2-OR	validation	sub-126	106	5	14640.0	14640.0	14640.0	0.0	1	H2-D	1	H2-D:sub-126:14640.0	True
P6-H2-OR	validation	sub-126	106	6	15000.0	15000.0	15000.0	0.0	1	H2-D	1	H2-D:sub-126:15000.0	True
P6-H2-OR	validation	sub-126	106	7	19350.0	19350.0	19350.0	0.0	1	H2-D	1	H2-D:sub-126:19350.0	True
P6-H2-OR	validation	sub-126	106	8	19410.0	19410.0	19410.0	0.0	1	H2-D	1	H2-D:sub-126:19410.0	True
P6-H2-OR	validation	sub-126	106	9	19710.0	19710.0	19740.0	30.0	2	P6-D;H2-D	2	H2-D:sub-126:19710.0;P6-D:sub-126:19740.0	True
P6-H2-OR	validation	sub-126	106	10	20040.0	20040.0	20040.0	0.0	2	P6-D;H2-D	2	H2-D:sub-126:20040.0;P6-D:sub-126:20040.0	True
P6-H2-OR	validation	sub-126	106	11	23430.0	23430.0	23430.0	0.0	1	H2-D	1	H2-D:sub-126:23430.0	True
P6-H2-OR	validation	sub-126	106	12	23970.0	23970.0	23970.0	0.0	1	H2-D	1	H2-D:sub-126:23970.0	True
P6-H2-OR	validation	sub-126	106	13	24030.0	24030.0	24030.0	0.0	1	P6-D	1	P6-D:sub-126:24030.0	True
P6-H2-OR	validation	sub-2	89	0	2880.0	2880.0	2880.0	0.0	1	H2-D	1	H2-D:sub-2:2880.0	True
P6-H2-OR	validation	sub-2	89	1	2970.0	2970.0	2970.0	0.0	1	H2-D	1	H2-D:sub-2:2970.0	True
P6-H2-OR	validation	sub-2	89	2	5880.0	5880.0	5880.0	0.0	1	H2-D	1	H2-D:sub-2:5880.0	True
P6-H2-OR	validation	sub-2	89	3	5940.0	5940.0	5940.0	0.0	1	H2-D	1	H2-D:sub-2:5940.0	True
P6-H2-OR	validation	sub-2	89	4	6000.0	6000.0	6000.0	0.0	1	H2-D	1	H2-D:sub-2:6000.0	True
P6-H2-OR	validation	sub-2	89	5	15960.0	15960.0	15960.0	0.0	1	P6-D	1	P6-D:sub-2:15960.0	True
P6-H2-OR	validation	sub-2	89	6	16470.0	16470.0	16470.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:16470.0;P6-D:sub-2:16470.0	True
