method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
P2-D	frozen_direct_control	validation	primary	15.0	89	2	7	11	0	11	7	0	15.05	0.0	0.0	0.0	0.7308970099667774
P2-D	frozen_direct_control	validation	primary	15.0	97	3	6	4	3	1	3	0	23.066666666666666	0.75	0.5	0.6	0.04335260115606936
P2-D	frozen_direct_control	validation	primary	15.0	106	1	1	2	0	1	1	1	7.2	0.0	0.0	0.0	0.1388888888888889
P2-D	frozen_direct_control	validation	primary	45.0	2	1	2	7	1	6	1	0	8.858333333333333	0.14285714285714285	0.5	0.2222222222222222	0.6773283160865475
P2-D	frozen_direct_control	validation	primary	45.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P2-D	frozen_direct_control	validation	primary	45.0	4	1	1	2	0	2	1	0	8.258333333333333	0.0	0.0	0.0	0.2421796165489405
P2-D	frozen_direct_control	validation	primary	45.0	5	1	0	6	0	5	0	1	7.733333333333333	0.0		0.0	0.646551724137931
P2-D	frozen_direct_control	validation	primary	45.0	15	2	5	6	2	3	3	1	16.616666666666667	0.4	0.4	0.4	0.18054162487462386
P2-D	frozen_direct_control	validation	primary	45.0	17	1	3	4	0	4	3	0	8.966666666666667	0.0	0.0	0.0	0.44609665427509293
P2-D	frozen_direct_control	validation	primary	45.0	37	1	0	0	0	0	0	0	7.991666666666666				0.0
P2-D	frozen_direct_control	validation	primary	45.0	40	1	0	3	0	1	0	2	7.133333333333334	0.0		0.0	0.14018691588785046
P2-D	frozen_direct_control	validation	primary	45.0	44	1	0	0	0	0	0	0	8.558333333333334				0.0
P2-D	frozen_direct_control	validation	primary	45.0	48	1	0	5	0	3	0	2	7.341666666666667	0.0		0.0	0.4086265607264472
P2-D	frozen_direct_control	validation	primary	45.0	55	1	0	5	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P2-D	frozen_direct_control	validation	primary	45.0	64	1	5	14	3	11	2	0	8.983333333333333	0.21428571428571427	0.6	0.3157894736842105	1.2244897959183674
P2-D	frozen_direct_control	validation	primary	45.0	73	1	3	5	1	4	2	0	7.866666666666666	0.2	0.3333333333333333	0.25	0.5084745762711864
P2-D	frozen_direct_control	validation	primary	45.0	89	2	7	11	0	10	7	1	15.05	0.0	0.0	0.0	0.6644518272425249
P2-D	frozen_direct_control	validation	primary	45.0	97	3	6	4	3	1	3	0	23.066666666666666	0.75	0.5	0.6	0.04335260115606936
P2-D	frozen_direct_control	validation	primary	45.0	106	1	1	2	0	1	1	1	7.2	0.0	0.0	0.0	0.1388888888888889
P2-D	frozen_direct_control	validation	expanded	15.0	2	1	2	7	1	6	1	0	8.858333333333333	0.14285714285714285	0.5	0.2222222222222222	0.6773283160865475
P2-D	frozen_direct_control	validation	expanded	15.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P2-D	frozen_direct_control	validation	expanded	15.0	4	1	1	2	0	2	1	0	8.258333333333333	0.0	0.0	0.0	0.2421796165489405
P2-D	frozen_direct_control	validation	expanded	15.0	5	1	3	6	1	5	2	0	7.733333333333333	0.16666666666666666	0.3333333333333333	0.2222222222222222	0.646551724137931
P2-D	frozen_direct_control	validation	expanded	15.0	15	2	5	6	2	3	3	1	16.616666666666667	0.4	0.4	0.4	0.18054162487462386
P2-D	frozen_direct_control	validation	expanded	15.0	17	1	3	4	0	4	3	0	8.966666666666667	0.0	0.0	0.0	0.44609665427509293
P2-D	frozen_direct_control	validation	expanded	15.0	37	1	2	0	0	0	2	0	7.991666666666666		0.0	0.0	0.0
P2-D	frozen_direct_control	validation	expanded	15.0	40	1	2	3	1	2	1	0	7.133333333333334	0.3333333333333333	0.5	0.4	0.2803738317757009
P2-D	frozen_direct_control	validation	expanded	15.0	44	1	0	0	0	0	0	0	8.558333333333334				0.0
P2-D	frozen_direct_control	validation	expanded	15.0	48	1	2	5	2	3	0	0	7.341666666666667	0.4	1.0	0.5714285714285714	0.4086265607264472
P2-D	frozen_direct_control	validation	expanded	15.0	55	1	0	5	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P2-D	frozen_direct_control	validation	expanded	15.0	64	1	5	14	3	11	2	0	8.983333333333333	0.21428571428571427	0.6	0.3157894736842105	1.2244897959183674
P2-D	frozen_direct_control	validation	expanded	15.0	73	1	3	5	0	5	3	0	7.866666666666666	0.0	0.0	0.0	0.6355932203389831
P2-D	frozen_direct_control	validation	expanded	15.0	89	2	7	11	0	11	7	0	15.05	0.0	0.0	0.0	0.7308970099667774
P2-D	frozen_direct_control	validation	expanded	15.0	97	3	6	4	3	1	3	0	23.066666666666666	0.75	0.5	0.6	0.04335260115606936
P2-D	frozen_direct_control	validation	expanded	15.0	106	1	6	2	1	1	5	0	7.2	0.5	0.16666666666666666	0.25	0.1388888888888889
P2-D	frozen_direct_control	validation	expanded	45.0	2	1	2	7	1	6	1	0	8.858333333333333	0.14285714285714285	0.5	0.2222222222222222	0.6773283160865475
P2-D	frozen_direct_control	validation	expanded	45.0	3	1	4	1	1	0	3	0	8.316666666666666	1.0	0.25	0.4	0.0
P2-D	frozen_direct_control	validation	expanded	45.0	4	1	1	2	0	2	1	0	8.258333333333333	0.0	0.0	0.0	0.2421796165489405
P2-D	frozen_direct_control	validation	expanded	45.0	5	1	3	6	1	5	2	0	7.733333333333333	0.16666666666666666	0.3333333333333333	0.2222222222222222	0.646551724137931
