method	method_role	partition	membership	tolerance_sec	subject	pid	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
P2-D	frozen_direct_control	validation	expanded	45.0	sub-82	48	2	5	0	2	3	0	0	7.341666666666667	0.4	1.0	0.5714285714285714	0.4086265607264472
P2-D	frozen_direct_control	validation	expanded	45.0	sub-88	55	0	5	0	0	5	0	0	7.416666666666667	0.0		0.0	0.6741573033707865
P2-D	frozen_direct_control	validation	expanded	45.0	sub-97	64	5	14	0	3	11	2	0	8.983333333333333	0.21428571428571427	0.6	0.3157894736842105	1.2244897959183674
H2-D	frozen_direct_control	validation	primary	15.0	sub-1	89	0	9	5	0	9	0	0	7.5	0.0		0.0	1.2
H2-D	frozen_direct_control	validation	primary	15.0	sub-105	73	3	12	0	1	11	2	0	7.866666666666666	0.08333333333333333	0.3333333333333333	0.13333333333333333	1.3983050847457628
H2-D	frozen_direct_control	validation	primary	15.0	sub-112	97	3	8	0	2	6	1	0	7.6	0.25	0.6666666666666666	0.36363636363636365	0.7894736842105263
H2-D	frozen_direct_control	validation	primary	15.0	sub-113	97	2	8	0	1	7	1	0	7.75	0.125	0.5	0.2	0.9032258064516129
H2-D	frozen_direct_control	validation	primary	15.0	sub-114	97	1	9	0	1	8	0	0	7.716666666666667	0.1111111111111111	1.0	0.2	1.036717062634989
H2-D	frozen_direct_control	validation	primary	15.0	sub-124	15	4	3	0	1	2	3	0	7.35	0.3333333333333333	0.25	0.2857142857142857	0.272108843537415
H2-D	frozen_direct_control	validation	primary	15.0	sub-126	106	1	12	5	0	10	1	2	7.2	0.0	0.0	0.0	1.3888888888888888
H2-D	frozen_direct_control	validation	primary	15.0	sub-2	89	7	18	0	2	16	5	0	7.55	0.1111111111111111	0.2857142857142857	0.16	2.119205298013245
H2-D	frozen_direct_control	validation	primary	15.0	sub-23	15	1	6	1	1	5	0	0	9.266666666666667	0.16666666666666666	1.0	0.2857142857142857	0.539568345323741
