transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
61	sub-16	11	REM_to_Wake	18000.0	HB_1_vs_PSG_F3	available	0	0.0	0.8803969089298493	0.8803969089298493	True
62	sub-16	11	Wake_to_REM	18060.0	HB_1_vs_PSG_F3	available	0	0.0	0.8863065350566153	0.8863065350566153	True
63	sub-16	11	REM_to_Wake	25500.0	HB_1_vs_PSG_F3	available	0	0.0	0.7129918941226266	0.7129918941226266	True
64	sub-16	11	Wake_to_REM	25530.0	HB_1_vs_PSG_F3	available	0	0.0	0.8203703772036762	0.8203703772036762	True
65	sub-16	11	REM_to_Wake	26220.0	HB_1_vs_PSG_F3	available	4	4.0	0.6326695907832964	0.6326695907832964	True
66	sub-16	11	Wake_to_REM	26250.0	HB_1_vs_PSG_F3	available	3	3.0	0.7039959133340309	0.7039959133340309	True
67	sub-16	11	REM_to_Wake	26340.0	HB_1_vs_PSG_F3	available	3	3.0	0.78897002322139	0.78897002322139	True
68	sub-16	11	Wake_to_REM	26370.0	HB_1_vs_PSG_F3	available	3	3.0	0.8837504637890434	0.8837504637890434	True
69	sub-16	11	REM_to_Wake	26790.0	HB_1_vs_PSG_F3	available	6	6.0	0.8998230962275141	0.8998230962275141	True
70	sub-16	11	Wake_to_REM	26820.0	HB_1_vs_PSG_F3	available	6	6.0	0.8945967023573667	0.8945967023573667	True
71	sub-16	11	REM_to_Wake	27780.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8505190956956536	0.8505190956956536	True
72	sub-17	92	REM_to_Wake	5670.0	HB_1_vs_PSG_F3	available	0	0.0	0.7344464756281517	0.7344464756281517	True
73	sub-17	92	REM_to_Wake	11340.0	HB_1_vs_PSG_F3	available	0	0.0	0.9143905865540002	0.9143905865540002	True
74	sub-17	92	REM_to_Wake	12150.0	HB_1_vs_PSG_F3	available	0	0.0	0.8456245377613751	0.8456245377613751	True
75	sub-17	92	REM_to_Wake	23520.0	HB_1_vs_PSG_F3	available	1	1.0	0.7192367230602621	0.7192367230602621	True
76	sub-17	92	Wake_to_REM	23550.0	HB_1_vs_PSG_F3	available	1	1.0	0.7412116081718879	0.7412116081718879	True
77	sub-17	92	REM_to_Wake	23850.0	HB_1_vs_PSG_F3	available	1	1.0	0.8849328015462178	0.8849328015462178	True
78	sub-17	92	Wake_to_REM	23880.0	HB_1_vs_PSG_F3	available	1	1.0	0.8388134767213863	0.8388134767213863	True
79	sub-17	92	REM_to_Wake	24090.0	HB_1_vs_PSG_F3	available	0	0.0	0.7140492972849757	0.7140492972849757	True
80	sub-17	92	Wake_to_REM	24120.0	HB_1_vs_PSG_F3	available	0	0.0	0.7386241226690129	0.7386241226690129	True
81	sub-17	92	REM_to_Wake	24180.0	HB_1_vs_PSG_F3	available	0	0.0	0.7564301348898738	0.7564301348898738	True
82	sub-17	92	REM_to_Wake	24780.0	HB_1_vs_PSG_F3	available	1	1.0	0.8417035065802524	0.8417035065802524	True
83	sub-17	92	Wake_to_REM	24810.0	HB_1_vs_PSG_F3	available	0	0.0	0.7930002786453463	0.7930002786453463	True
84	sub-17	92	REM_to_Wake	25110.0	HB_1_vs_PSG_F3	available	1	1.0	0.8659321057850455	0.8659321057850455	True
85	sub-17	92	REM_to_Wake	29100.0	HB_1_vs_PSG_F3	available	-4	-4.0	0.7389715391536265	0.7389715391536265	True
