transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
158	sub-41	83	REM_to_Wake	15300.0	HB_1_vs_PSG_F3	available	0	0.0	0.8874056460773416	0.8874056460773416	True
159	sub-41	83	REM_to_Wake	20820.0	HB_1_vs_PSG_F3	available	0	0.0	0.8109728214713828	0.8109728214713828	True
160	sub-41	83	REM_to_Wake	21570.0	HB_1_vs_PSG_F3	available	1	1.0	0.7576098221298883	0.7576098221298883	True
161	sub-41	83	Wake_to_REM	21600.0	HB_1_vs_PSG_F3	available	1	1.0	0.7439498001818299	0.7439498001818299	True
162	sub-41	83	REM_to_Wake	23730.0	HB_1_vs_PSG_F3	available	1	1.0	0.9715368822434343	0.9715368822434343	True
163	sub-42	84	REM_to_Wake	3960.0	HB_1_vs_PSG_F3	available	0	0.0	0.7550473178238505	0.7550473178238505	True
164	sub-42	84	REM_to_Wake	4230.0	HB_1_vs_PSG_F3	available	0	0.0	0.5775510983149874	0.5775510983149874	True
165	sub-42	84	REM_to_Wake	10260.0	HB_1_vs_PSG_F3	available	0	0.0	0.4779364631408716	0.4779364631408716	True
166	sub-42	84	Wake_to_REM	10290.0	HB_1_vs_PSG_F3	available	0	0.0	0.5370197060111349	0.5370197060111349	True
167	sub-42	84	REM_to_Wake	11610.0	HB_1_vs_PSG_F3	available	1	1.0	0.7658403437988942	0.7658403437988942	True
168	sub-42	84	REM_to_Wake	23100.0	HB_1_vs_PSG_F3	available	0	0.0	0.786810410727685	0.786810410727685	True
169	sub-42	84	Wake_to_REM	23190.0	HB_1_vs_PSG_F3	available	0	0.0	0.5955189632554647	0.5955189632554647	True
170	sub-42	84	REM_to_Wake	23460.0	HB_1_vs_PSG_F3	available	0	0.0	0.7023299486669531	0.7023299486669531	True
171	sub-43	87	REM_to_Wake	25140.0	HB_1_vs_PSG_F3	available	-30	-30.0	0.3564849962097718	0.3564849962097718	True
172	sub-44	23	REM_to_Wake	24060.0	HB_1_vs_PSG_F3	available	0	0.0	0.5165127033948279	0.5165127033948279	True
173	sub-44	23	REM_to_Wake	25470.0	HB_1_vs_PSG_F3	available	-15	-15.0	0.8256919927664569	0.8256919927664569	True
174	sub-45	24	REM_to_Wake	24450.0	HB_1_vs_PSG_F3	available	6	6.0	0.7936469795204528	0.7936469795204528	True
175	sub-46	26	REM_to_Wake	9480.0	HB_1_vs_PSG_F3	available	0	0.0	0.7465078160641468	0.7465078160641468	True
176	sub-46	26	Wake_to_REM	9510.0	HB_1_vs_PSG_F3	available	0	0.0	0.7749309026494036	0.7749309026494036	True
177	sub-46	26	REM_to_Wake	20370.0	HB_1_vs_PSG_F3	available	0	0.0	0.560707568724161	0.560707568724161	True
178	sub-46	26	REM_to_Wake	26580.0	HB_1_vs_PSG_F3	available	-4	-4.0	0.747767451052535	0.747767451052535	True
179	sub-46	26	Wake_to_REM	26610.0	HB_1_vs_PSG_F3	available	-5	-5.0	0.7657875321912933	0.7657875321912933	True
