transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
89	sub-18	12	REM_to_Wake	10950.0	2772480	2833920	2772480	2833920	0	0	pass
90	sub-18	12	Wake_to_REM	10980.0	2780160	2841600	2780160	2841600	0	0	pass
91	sub-18	12	REM_to_Wake	12240.0	3102720	3164160	3102720	3164160	0	0	pass
92	sub-18	12	REM_to_Wake	17340.0	4408320	4469760	4408320	4469760	0	0	pass
93	sub-18	12	REM_to_Wake	22020.0	5606400	5667840	5606400	5667840	0	0	pass
94	sub-18	12	REM_to_Wake	22890.0	5829120	5890560	5829120	5890560	0	0	pass
95	sub-18	12	REM_to_Wake	23310.0	5936640	5998080	5936640	5998080	0	0	pass
96	sub-18	12	REM_to_Wake	26700.0	6804480	6865920	6804480	6865920	0	0	pass
97	sub-18	12	Wake_to_REM	26730.0	6812160	6873600	6812160	6873600	0	0	pass
98	sub-18	12	REM_to_Wake	28260.0	7203840	7265280	7203840	7265280	0	0	pass
99	sub-19	93	REM_to_Wake	22590.0	5752320	5813760	5752320	5813760	0	0	pass
100	sub-19	93	REM_to_Wake	29880.0	7618560	7680000	7618560	7680000	0	0	pass
101	sub-20	13	REM_to_Wake	12480.0	3164160	3225600	3164160	3225600	0	0	pass
102	sub-20	13	REM_to_Wake	29250.0	7457280	7518720	7457280	7518720	0	0	pass
103	sub-21	93	REM_to_Wake	15120.0	3840000	3901440	3840000	3901440	0	0	pass
104	sub-22	14	REM_to_Wake	26520.0	6758400	6819840	6758400	6819840	0	0	pass
105	sub-22	14	Wake_to_REM	26550.0	6766080	6827520	6766080	6827520	0	0	pass
106	sub-22	14	REM_to_Wake	26970.0	6873600	6935040	6873600	6935040	0	0	pass
107	sub-23	15	REM_to_Wake	22860.0	5821440	5882880	5821440	5882880	0	0	pass
108	sub-23	15	REM_to_Wake	31170.0	7948800	8010240	7948800	8010240	0	0	pass
109	sub-24	16	REM_to_Wake	8220.0	2073600	2135040	2073600	2135040	0	0	pass
110	sub-24	16	REM_to_Wake	17370.0	4416000	4477440	4416000	4477440	0	0	pass
111	sub-25	17	REM_to_Wake	14970.0	3801600	3863040	3801600	3863040	0	0	pass
112	sub-25	17	REM_to_Wake	28230.0	7196160	7257600	7196160	7257600	0	0	pass
113	sub-25	17	Wake_to_REM	28260.0	7203840	7265280	7203840	7265280	0	0	pass
114	sub-25	17	REM_to_Wake	29190.0	7441920	7503360	7441920	7503360	0	0	pass
115	sub-26	18	REM_to_Wake	7590.0	1912320	1973760	1912320	1973760	0	0	pass
