subject	pid	window_id	window_center_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
sub-40	86	3	12503.5	HB_PULSE_vs_PSG_PULSE	available	14	0.4375	0.5717144821862173	0.5717144821862173	True
sub-40	86	4	17504.899999999998	HB_PULSE_vs_PSG_PULSE	available	17	0.53125	0.8014999536611118	0.8014999536611118	True
sub-40	86	5	22506.3	HB_PULSE_vs_PSG_PULSE	available	18	0.5625	0.3606246736552326	0.3606246736552326	True
sub-41	83	1	2750.2000000000003	HB_PULSE_vs_PSG_PULSE	available	-6	-0.1875	-0.33586018714143373	0.33586018714143373	True
sub-41	83	2	8250.6	HB_PULSE_vs_PSG_PULSE	available	-3	-0.09375	-0.14757429663296467	0.14757429663296467	False
sub-41	83	3	13751.0	HB_PULSE_vs_PSG_PULSE	available	25	0.78125	-0.16833134686188797	0.16833134686188797	False
sub-41	83	4	19251.399999999998	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.25842126953825323	0.25842126953825323	True
sub-41	83	5	24751.8	HB_PULSE_vs_PSG_PULSE	available	29	0.90625	-0.3690443419320095	0.3690443419320095	True
sub-42	84	1	2684.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-42	84	2	8052.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-42	84	3	13420.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-42	84	4	18788.0	HB_PULSE_vs_PSG_PULSE	available	222	6.9375	-0.049659165376333754	0.049659165376333754	False
sub-42	84	5	24156.0	HB_PULSE_vs_PSG_PULSE	available	-4	-0.125	-0.7551481261387525	0.7551481261387525	True
sub-43	87	1	2520.5	HB_PULSE_vs_PSG_PULSE	available	-2	-0.0625	-0.463912480482576	0.463912480482576	True
sub-43	87	2	7561.5	HB_PULSE_vs_PSG_PULSE	available	0	0.0	-0.8108950711244282	0.8108950711244282	True
sub-43	87	3	12602.5	HB_PULSE_vs_PSG_PULSE	available	37	1.15625	-0.8515521684310703	0.8515521684310703	True
sub-43	87	4	17643.5	HB_PULSE_vs_PSG_PULSE	available	-4	-0.125	-0.8745500044580226	0.8745500044580226	True
sub-43	87	5	22684.5	HB_PULSE_vs_PSG_PULSE	available	-4	-0.125	-0.8665350753341866	0.8665350753341866	True
sub-44	23	1	2552.5	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.34113740736020937	0.34113740736020937	True
sub-44	23	2	7657.5	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.7376506516866387	0.7376506516866387	True
sub-44	23	3	12762.5	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.4738102754392253	0.4738102754392253	True
sub-44	23	4	17867.5	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.29851859922323754	0.29851859922323754	True
sub-44	23	5	22972.5	HB_PULSE_vs_PSG_PULSE	available	10	0.3125	0.4913317837300562	0.4913317837300562	True
