subject	pid	comparator	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-23	15	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	3.9398823961613387	4296960	True
sub-23	15	H2-BOTH-10DB	HB_1	10.0	10.0	0.0	12.440587767242306	4296960	True
sub-23	15	H2-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	12.459002085071665	4296960	True
sub-23	15	H2-BOTH-0DB	HB_1	0.0	-4.821637332766436e-15	4.821637332766436e-15	39.34059277571436	4296960	True
sub-23	15	H2-BOTH-0DB	HB_2	0.0	-1.9286549331065743e-15	1.9286549331065743e-15	39.39882396161338	4296960	True
sub-23	15	H2-HB1-10DB	HB_1	10.0	10.0	0.0	12.440587767242306	4296960	True
sub-23	15	H2-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	12.459002085071665	4296960	True
sub-25	17	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	4.826219310016796	4158720	True
sub-25	17	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	2.365460532398011	4158720	True
sub-25	17	H2-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	15.261845507139366	4158720	True
sub-25	17	H2-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	7.4802429976122315	4158720	True
sub-25	17	H2-BOTH-0DB	HB_1	0.0	-6.7502922658730125e-15	6.7502922658730125e-15	48.26219310016797	4158720	True
sub-25	17	H2-BOTH-0DB	HB_2	0.0	0.0	0.0	23.65460532398011	4158720	True
sub-25	17	H2-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	15.261845507139366	4158720	True
sub-25	17	H2-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	7.4802429976122315	4158720	True
sub-4	2	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	6.853766668842391	4108800	True
sub-4	2	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	9.132321230269092	4108800	True
sub-4	2	H2-BOTH-10DB	HB_1	10.0	10.0	0.0	21.673513224886943	4108800	True
sub-4	2	H2-BOTH-10DB	HB_2	10.0	10.000000000000007	7.105427357601002e-15	28.87893541196136	4108800	True
sub-4	2	H2-BOTH-0DB	HB_1	0.0	0.0	0.0	68.53766668842391	4108800	True
sub-4	2	H2-BOTH-0DB	HB_2	0.0	0.0	0.0	91.32321230269092	4108800	True
sub-4	2	H2-HB1-10DB	HB_1	10.0	10.0	0.0	21.673513224886943	4108800	True
sub-4	2	H2-HB2-10DB	HB_2	10.0	10.000000000000007	7.105427357601002e-15	28.87893541196136	4108800	True
sub-5	3	H2-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	6.415823510391827	3859200	True
sub-5	3	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	8.176573150942367	3859200	True
sub-5	3	H2-BOTH-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	20.288615358495143	3859200	True
sub-5	3	H2-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	25.856594611957625	3859200	True
sub-5	3	H2-BOTH-0DB	HB_1	0.0	-1.9286549331065743e-15	1.9286549331065743e-15	64.15823510391827	3859200	True
sub-5	3	H2-BOTH-0DB	HB_2	0.0	-2.892982399659862e-15	2.892982399659862e-15	81.76573150942369	3859200	True
sub-5	3	H2-HB1-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	20.288615358495143	3859200	True
sub-5	3	H2-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	25.856594611957625	3859200	True
sub-6	4	H2-BOTH-20DB	HB_1	20.0	19.999999999999993	7.105427357601002e-15	7.007305080159033	3832320	True
sub-6	4	H2-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	10.660902623794946	3832320	True
sub-6	4	H2-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	22.1590443129713	3832320	True
sub-6	4	H2-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	33.71273420445722	3832320	True
sub-6	4	H2-BOTH-0DB	HB_1	0.0	-5.785964799319725e-15	5.785964799319725e-15	70.07305080159033	3832320	True
