subject	participant_id	pid	window_source	exclude	include	review
sub-16	sub-16	11	background_review	0	17	16
sub-16	sub-16	11	transition	0	1	12
sub-17	sub-17	92	background_review	0	22	11
sub-17	sub-17	92	transition	0	1	15
sub-18	sub-18	12	background_review	0	23	11
sub-18	sub-18	12	transition	0	7	4
sub-19	sub-19	93	background_review	0	23	14
sub-19	sub-19	93	transition	0	0	2
sub-2	sub-2	89	background_review	0	37	3
sub-2	sub-2	89	transition	0	5	4
sub-20	sub-20	13	background_review	0	17	20
sub-20	sub-20	13	transition	0	0	2
sub-21	sub-21	93	background_review	0	21	15
sub-21	sub-21	93	transition	0	0	1
sub-22	sub-22	14	background_review	0	24	14
sub-22	sub-22	14	transition	0	0	3
sub-23	sub-23	15	background_review	0	26	10
sub-23	sub-23	15	transition	1	0	1
sub-24	sub-24	16	background_review	0	32	3
sub-24	sub-24	16	transition	0	1	1
sub-25	sub-25	17	background_review	0	34	3
sub-25	sub-25	17	transition	0	1	3
sub-26	sub-26	18	background_review	0	23	14
sub-26	sub-26	18	transition	0	0	2
sub-27	sub-27	19	background_review	0	10	17
sub-27	sub-27	19	transition	0	0	4
sub-28	sub-28	20	background_review	0	23	14
sub-28	sub-28	20	transition	0	1	0
sub-29	sub-29	21	background_review	0	20	20
sub-29	sub-29	21	transition	0	0	3
sub-3	sub-3	1	background_review	0	24	17
sub-3	sub-3	1	transition	0	0	7
sub-30	sub-30	94	background_review	0	12	19
sub-30	sub-30	94	transition	0	0	3
sub-31	sub-31	95	background_review	0	21	8
sub-32	sub-32	83	background_review	0	11	22
sub-32	sub-32	83	transition	0	0	5
sub-33	sub-33	84	background_review	0	23	3
sub-33	sub-33	84	transition	0	4	4
sub-34	sub-34	22	background_review	0	13	15
sub-35	sub-35	83	background_review	0	8	18
sub-36	sub-36	84	background_review	0	26	1
sub-36	sub-36	84	transition	1	7	0
sub-37	sub-37	86	background_review	0	19	10
sub-37	sub-37	86	transition	0	1	3
sub-38	sub-38	87	background_review	0	11	17
sub-38	sub-38	87	transition	0	0	1
sub-39	sub-39	85	background_review	0	30	6
sub-39	sub-39	85	transition	0	0	1
sub-4	sub-4	2	background_review	0	24	13
sub-4	sub-4	2	transition	0	1	1
sub-40	sub-40	86	background_review	0	28	3
sub-40	sub-40	86	transition	0	1	1
sub-41	sub-41	83	background_review	0	16	14
sub-41	sub-41	83	transition	0	0	6
sub-42	sub-42	84	background_review	0	26	3
sub-42	sub-42	84	transition	0	7	1
sub-43	sub-43	87	background_review	0	20	8
sub-43	sub-43	87	transition	1	0	0
sub-44	sub-44	23	background_review	0	33	2
sub-44	sub-44	23	transition	1	1	0
sub-45	sub-45	24	background_review	0	18	10
sub-45	sub-45	24	transition	0	0	1
sub-46	sub-46	26	background_review	0	24	10
sub-46	sub-46	26	transition	0	0	6
sub-47	sub-47	87	background_review	0	24	3
sub-48	sub-48	28	background_review	0	17	19
sub-48	sub-48	28	transition	0	0	1
sub-49	sub-49	29	background_review	0	25	13
sub-49	sub-49	29	transition	0	0	2
sub-5	sub-5	3	background_review	0	13	19
sub-5	sub-5	3	transition	0	0	6
sub-50	sub-50	88	background_review	0	10	22
sub-50	sub-50	88	transition	0	0	2
sub-51	sub-51	30	background_review	0	26	10
sub-51	sub-51	30	transition	0	0	7
sub-52	sub-52	31	background_review	0	19	10
sub-52	sub-52	31	transition	0	2	2
sub-53	sub-53	88	background_review	0	11	16
sub-53	sub-53	88	transition	0	1	5
sub-54	sub-54	88	background_review	0	9	23
sub-54	sub-54	88	transition	0	0	4
sub-55	sub-55	77	background_review	3	18	15
sub-55	sub-55	77	transition	2	0	2
sub-56	sub-56	78	background_review	0	13	22
sub-56	sub-56	78	transition	0	2	7
sub-57	sub-57	77	background_review	0	18	21
sub-57	sub-57	77	transition	0	0	6
sub-58	sub-58	78	background_review	0	24	12
sub-58	sub-58	78	transition	1	3	5
sub-59	sub-59	79	background_review	1	14	22
sub-59	sub-59	79	transition	0	2	6
sub-6	sub-6	4	background_review	0	30	7
sub-6	sub-6	4	transition	0	1	0
sub-60	sub-60	80	background_review	0	24	12
sub-61	sub-61	79	background_review	0	1	36
sub-61	sub-61	79	transition	0	0	8
sub-62	sub-62	80	background_review	0	30	8
sub-62	sub-62	80	transition	0	0	2
sub-63	sub-63	81	background_review	0	23	14
sub-63	sub-63	81	transition	0	0	1
sub-64	sub-64	82	background_review	0	36	2
sub-64	sub-64	82	transition	0	2	1
sub-65	sub-65	81	background_review	0	13	24
sub-65	sub-65	81	transition	0	0	1
sub-66	sub-66	82	background_review	0	25	10
sub-66	sub-66	82	transition	0	0	2
sub-67	sub-67	32	background_review	0	27	1
sub-67	sub-67	32	transition	0	1	7
sub-68	sub-68	33	background_review	0	18	21
sub-68	sub-68	33	transition	0	0	2
sub-69	sub-69	34	background_review	0	19	16
sub-69	sub-69	34	transition	0	0	1
sub-7	sub-7	5	background_review	0	19	21
sub-7	sub-7	5	transition	0	0	4
sub-70	sub-70	35	background_review	0	16	13
sub-70	sub-70	35	transition	0	0	2
sub-71	sub-71	36	background_review	0	11	19
sub-71	sub-71	36	transition	0	0	4
sub-72	sub-72	37	background_review	0	15	15
sub-72	sub-72	37	transition	0	0	2
sub-73	sub-73	38	background_review	0	27	10
sub-73	sub-73	38	transition	0	0	1
sub-74	sub-74	39	background_review	0	34	3
sub-74	sub-74	39	transition	0	2	0
sub-75	sub-75	40	background_review	0	19	10
sub-75	sub-75	40	transition	0	0	3
sub-76	sub-76	41	background_review	0	31	5
sub-76	sub-76	41	transition	0	0	2
sub-77	sub-77	42	background_review	0	17	20
sub-77	sub-77	42	transition	1	0	3
sub-78	sub-78	43	background_review	0	22	18
sub-78	sub-78	43	transition	0	0	3
sub-79	sub-79	44	background_review	0	17	15
sub-8	sub-8	6	background_review	0	29	3
sub-80	sub-80	45	background_review	0	33	4
sub-81	sub-81	46	background_review	0	18	12
sub-81	sub-81	46	transition	0	1	12
sub-82	sub-82	48	background_review	0	24	9
sub-82	sub-82	48	transition	0	0	2
sub-83	sub-83	50	background_review	0	15	17
sub-83	sub-83	50	transition	0	0	1
sub-84	sub-84	51	background_review	0	12	17
sub-84	sub-84	51	transition	0	1	0
sub-85	sub-85	52	background_review	0	24	13
sub-85	sub-85	52	transition	0	0	5
sub-86	sub-86	53	background_review	0	32	4
sub-87	sub-87	54	background_review	0	24	7
sub-87	sub-87	54	transition	0	1	1
sub-88	sub-88	55	background_review	0	14	13
sub-89	sub-89	56	background_review	0	17	22
sub-9	sub-9	90	background_review	0	30	9
sub-9	sub-9	90	transition	0	0	1
sub-90	sub-90	57	background_review	0	8	19
sub-90	sub-90	57	transition	0	3	4
sub-91	sub-91	58	background_review	0	32	4
sub-91	sub-91	58	transition	0	5	3
sub-92	sub-92	59	background_review	0	22	11
sub-92	sub-92	59	transition	0	2	3
sub-93	sub-93	60	background_review	0	27	8
sub-93	sub-93	60	transition	0	0	4
sub-94	sub-94	61	background_review	0	11	20
sub-94	sub-94	61	transition	0	0	2
sub-95	sub-95	62	background_review	0	15	22
sub-95	sub-95	62	transition	0	4	4
sub-96	sub-96	63	background_review	0	23	7
sub-96	sub-96	63	transition	0	0	5
sub-97	sub-97	64	background_review	0	16	12
sub-97	sub-97	64	transition	0	3	5
sub-98	sub-98	65	background_review	0	19	12
sub-98	sub-98	65	transition	0	0	12
sub-99	sub-99	66	background_review	0	21	13
