comparator	comparator_version	partition	membership	tolerance_sec	metric	resamples	seed	lower_95	median	upper_95
SF-A	v0.1	validation	primary	45.0	recall	2000	20260815	0.21047149122807016	0.375	0.5333333333333333
SF-A	v0.1	validation	primary	45.0	f1	2000	20260815	0.14399712230215828	0.3125	0.5048543689320388
SF-A	v0.1	validation	primary	45.0	false_alarms_per_hour	2000	20260815	0.09946614911592824	0.246835492931626	0.4948457657188321
SF-A	v0.1	validation	expanded	15.0	precision	2000	20260815	0.078125	0.21739130434782608	0.41671511627906954
SF-A	v0.1	validation	expanded	15.0	recall	2000	20260815	0.09372106481481482	0.23310502283105022	0.3846590909090907
SF-A	v0.1	validation	expanded	15.0	f1	2000	20260815	0.08847616829684832	0.2222222222222222	0.37386098130841106
SF-A	v0.1	validation	expanded	15.0	false_alarms_per_hour	2000	20260815	0.13865510504246	0.28140650223468644	0.5185027201573681
SF-A	v0.1	validation	expanded	45.0	precision	2000	20260815	0.13234600443951167	0.3148148148148148	0.5778682170542631
SF-A	v0.1	validation	expanded	45.0	recall	2000	20260815	0.18181818181818182	0.3333333333333333	0.4783043478260867
SF-A	v0.1	validation	expanded	45.0	f1	2000	20260815	0.16127592165898616	0.31886650348333645	0.49438806330796176
SF-A	v0.1	validation	expanded	45.0	false_alarms_per_hour	2000	20260815	0.09946614911592824	0.246835492931626	0.4948457657188321
SF-A	v0.1	test	primary	15.0	precision	2000	20260815	0.21568627450980393	0.3333333333333333	0.4400119047619047
SF-A	v0.1	test	primary	15.0	recall	2000	20260815	0.29085858585858587	0.423728813559322	0.5454545454545454
SF-A	v0.1	test	primary	15.0	f1	2000	20260815	0.25688073394495414	0.3719439475253429	0.46835728133196486
SF-A	v0.1	test	primary	15.0	false_alarms_per_hour	2000	20260815	0.19398566549415758	0.2604305121716858	0.3332977012754449
SF-A	v0.1	test	primary	45.0	precision	2000	20260815	0.2982113486842105	0.4567901234567901	0.6316228070175436
SF-A	v0.1	test	primary	45.0	recall	2000	20260815	0.4	0.5757575757575758	0.7457694377185903
SF-A	v0.1	test	primary	45.0	f1	2000	20260815	0.34963924963924964	0.5086232530478739	0.6588477865372951
SF-A	v0.1	test	primary	45.0	false_alarms_per_hour	2000	20260815	0.13586773569226432	0.2080652995812705	0.2807134231679709
SF-A	v0.1	test	expanded	15.0	precision	2000	20260815	0.2360906862745098	0.3484848484848485	0.4528466432645897
SF-A	v0.1	test	expanded	15.0	recall	2000	20260815	0.26311740890688257	0.38333333333333336	0.4852976870359794
SF-A	v0.1	test	expanded	15.0	f1	2000	20260815	0.2556310990241561	0.36585365853658536	0.45901639344262296
SF-A	v0.1	test	expanded	15.0	false_alarms_per_hour	2000	20260815	0.19398566549415758	0.2604305121716858	0.3332977012754449
SF-A	v0.1	test	expanded	45.0	precision	2000	20260815	0.32306451612903225	0.4777777777777778	0.6438508371385083
SF-A	v0.1	test	expanded	45.0	recall	2000	20260815	0.37495833333333334	0.5259784075573549	0.6718963068181817
SF-A	v0.1	test	expanded	45.0	f1	2000	20260815	0.35183933933933936	0.5	0.6451999227351746
SF-A	v0.1	test	expanded	45.0	false_alarms_per_hour	2000	20260815	0.13586773569226432	0.2080652995812705	0.2807134231679709
