model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
H2-NA	train_oof	primary	15.0	0.12	82	64	180	8631	133	8466	47	32	629.4916666666667	0.015466914757529945	0.7388888888888889	0.030299578539697003	13.448946901600497	0.0	0.0
H2-NA	train_oof	primary	15.0	0.13	82	64	180	8335	133	8170	47	32	629.4916666666667	0.016018306636155607	0.7388888888888889	0.03135683130967818	12.978726220892518	0.0	0.0
H2-NA	train_oof	primary	15.0	0.14	82	64	180	8089	133	7924	47	32	629.4916666666667	0.016507384882710686	0.7388888888888889	0.03229331067136093	12.58793470922305	0.0	0.0
H2-NA	train_oof	primary	15.0	0.15	82	64	180	7843	133	7678	47	32	629.4916666666667	0.017027269235693254	0.7388888888888889	0.033287448379426855	12.197143197553581	0.0	0.0
H2-NA	train_oof	primary	15.0	0.16	82	64	180	7645	133	7480	47	32	629.4916666666667	0.017470116905293577	0.7388888888888889	0.03413319645836007	11.882603688161081	0.0	0.0
H2-NA	train_oof	primary	15.0	0.17	82	64	180	7459	133	7294	47	32	629.4916666666667	0.017907634307257305	0.7388888888888889	0.03496779282240042	11.587127179337825	0.0	0.0
H2-NA	train_oof	primary	15.0	0.18	82	64	180	7284	133	7119	47	32	629.4916666666667	0.01833976833976834	0.7388888888888889	0.03579117330462863	11.309125087703041	0.0	0.0
H2-NA	train_oof	primary	15.0	0.19	82	64	180	7107	133	6942	47	32	629.4916666666667	0.018798586572438162	0.7388888888888889	0.03666436940041351	11.027945829306715	0.0	0.0
H2-NA	train_oof	primary	15.0	0.2	82	64	180	6900	133	6735	47	32	629.4916666666667	0.01936517181129878	0.7388888888888889	0.03774120317820658	10.699109069487285	0.0	0.0
H2-NA	train_oof	primary	15.0	0.21	82	64	180	6715	133	6550	47	32	629.4916666666667	0.019901241957204847	0.7388888888888889	0.038758560396328134	10.405221144044798	0.0	0.0
H2-NA	train_oof	primary	15.0	0.22	82	64	180	6585	133	6420	47	32	629.4916666666667	0.020296047611780863	0.7388888888888889	0.039506906282489235	10.198705304544673	0.0	0.0
H2-NA	train_oof	primary	15.0	0.23	82	64	180	6448	133	6283	47	32	629.4916666666667	0.02072942643391521	0.7388888888888889	0.040327471194663435	9.981069381379156	0.0	0.0
H2-NA	train_oof	primary	15.0	0.24	82	64	180	6294	134	6128	46	32	629.4916666666667	0.021398914084956883	0.7444444444444445	0.04160198696057125	9.734838957359774	0.0	0.0
H2-NA	train_oof	primary	15.0	0.25	82	64	180	6161	134	5995	46	32	629.4916666666667	0.02186327296459455	0.7444444444444445	0.042478998256459025	9.523557367717338	0.0	0.0
H2-NA	train_oof	primary	15.0	0.26	82	64	180	6033	134	5867	46	32	629.4916666666667	0.022329611731378103	0.7444444444444445	0.043358679825270995	9.320218694978752	0.0	0.0
H2-NA	train_oof	primary	15.0	0.27	82	64	180	5911	134	5745	46	32	629.4916666666667	0.022792992005443102	0.7444444444444445	0.04423172140617264	9.126411522524789	0.0	0.0
H2-NA	train_oof	primary	15.0	0.28	82	64	180	5792	134	5626	46	32	629.4916666666667	0.02326388888888889	0.7444444444444445	0.04511784511784512	8.937370100213135	0.0	0.0
H2-NA	train_oof	primary	15.0	0.29	82	64	180	5680	134	5514	46	32	629.4916666666667	0.023725212464589234	0.7444444444444445	0.04598490048043926	8.759448761566873	0.0	0.0
H2-NA	train_oof	primary	15.0	0.3	82	64	180	5590	134	5424	46	32	629.4916666666667	0.024109391867578267	0.7444444444444445	0.04670616939700244	8.616476257297554	0.0	0.0
H2-NA	train_oof	primary	15.0	0.31	82	64	180	5492	134	5326	46	32	629.4916666666667	0.02454212454212454	0.7444444444444445	0.0475177304964539	8.460795085982076	0.0	0.0
H2-NA	train_oof	primary	15.0	0.32	82	64	180	5389	133	5224	47	32	629.4916666666667	0.0248273287287661	0.7388888888888889	0.04804045512010114	8.298759581143516	0.0	0.0
H2-NA	train_oof	primary	15.0	0.33	82	64	180	5293	133	5128	47	32	629.4916666666667	0.025280364949629347	0.7388888888888889	0.04888807204557986	8.146255576589576	0.0	0.0
H2-NA	train_oof	primary	15.0	0.34	82	64	180	5184	133	5019	47	32	629.4916666666667	0.025815217391304348	0.7388888888888889	0.04988747186796699	7.973099988085624	0.0	0.0
H2-NA	train_oof	primary	15.0	0.35	82	64	180	5079	132	4915	48	32	629.4916666666667	0.026154150980780663	0.7333333333333333	0.05050698297302468	7.807887316485524	0.0	0.0
H2-NA	train_oof	primary	15.0	0.36	82	64	180	4990	132	4826	48	32	629.4916666666667	0.026623638563937072	0.7333333333333333	0.051381860646165824	7.666503395596976	0.0	0.0
H2-NA	train_oof	primary	15.0	0.37	82	64	180	4907	132	4743	48	32	629.4916666666667	0.02707692307692308	0.7333333333333333	0.05222551928783383	7.53465097499305	0.0	0.0
H2-NA	train_oof	primary	15.0	0.38	82	64	180	4816	131	4653	49	32	629.4916666666667	0.027382943143812708	0.7277777777777777	0.05278001611603546	7.391678470723732	0.0	0.0
H2-NA	train_oof	primary	15.0	0.39	82	64	180	4746	131	4583	49	32	629.4916666666667	0.027789563003818414	0.7277777777777777	0.05353494074376788	7.280477634069818	0.0	0.0
H2-NA	train_oof	primary	15.0	0.4	82	64	180	4668	131	4505	49	32	629.4916666666667	0.02825711820534944	0.7277777777777777	0.05440199335548173	7.156568130369743	0.0	0.0
H2-NA	train_oof	primary	15.0	0.41	82	64	180	4593	131	4430	49	32	629.4916666666667	0.028721771541328656	0.7277777777777777	0.05526260282640793	7.037424376811978	0.0	0.0
H2-NA	train_oof	primary	15.0	0.42	82	64	180	4520	131	4357	49	32	629.4916666666667	0.029188948306595366	0.7277777777777777	0.05612682090831191	6.9214577900157535	0.0	0.0
H2-NA	train_oof	primary	15.0	0.43	82	64	180	4453	131	4290	49	32	629.4916666666667	0.029631305134584937	0.7277777777777777	0.0569441425777005	6.81502270350415	0.0	0.0
H2-NA	train_oof	primary	15.0	0.44	82	64	180	4390	131	4227	49	32	629.4916666666667	0.030059660394676457	0.7277777777777777	0.05773468488320846	6.714941950515628	0.0	0.0
H2-NA	train_oof	primary	15.0	0.45	82	64	180	4311	131	4148	49	32	629.4916666666667	0.03061462958635195	0.7277777777777777	0.058757568961650596	6.589443863434782	0.0	0.0
