subject	pid	channel	seed	raw_samples	noise_basis_sha256
sub-93	60	HB_1	1227641660656340284	6750464	616fbb7f29da393cee3101cdeb08c32295be681a61c9df0e87d76b08de7c6283
sub-93	60	HB_2	9628912179093891156	6750464	4c88cf5e192aa1b57b1bb3f83a4d7cd29f0e7e2c7debc23c3c9b23fac721414f
sub-94	61	HB_1	13615816812344811083	7720704	f0f34ff789fd6e39357d8b4bcba100fe63f0b6b93d760b1fb1fc18b8330f2cdb
sub-94	61	HB_2	16931552440808893888	7720704	4a05279bcb5fcc2e544ed32f66a9da74c3595f8587954d84c0b42d44c5d458cc
sub-95	62	HB_1	8777300337126355547	7552512	8a1d228f0dbb52aa9cff1fc6d05fb0e95ee20402b0dc6437a9f5238cd8dd1962
sub-95	62	HB_2	2345929681271647130	7552512	aea03c5f68a378d3731260b24ad6d796275f4de950a74d351e7e796ad30419db
sub-96	63	HB_1	16659152826896540976	7460096	61d550a59ddc7705e7d1e35c4c7bdf1c9ca49026aa5b0a194d9c4419693588a2
sub-96	63	HB_2	5852781563523515875	7460096	51f29466e8da3e619e5a3247c381ef407b0c26b3b8e740f36f5b633c4209fdf3
sub-98	65	HB_1	10153641128896550328	6920192	9ff018adcd406b1e1046d6fb6380a5bd70c19ba4dc7c4fc1cf2aa49a0c8262d9
sub-98	65	HB_2	15330154205093092617	6920192	c7f1a5a4147b62d15e76816bb9cae96a4ad311532fff04f42bf1bd40d9d2ff4b
sub-99	66	HB_1	15272450902727840835	8208384	f792218eea716b76e04065e8ff77825789c4e762947f0d8039101f29a2537f82
sub-99	66	HB_2	7382290533952293424	8208384	5b3a3aa9d1cc1af6fd12499f8c45ce6186908754e3a8384fa586194707581a6e
sub-100	67	HB_1	4680077577132176643	7653888	8f785bb0bc9e0bdd7860a10486f70bcb3b0b52ca5170598823dc9c22300d55ba
sub-100	67	HB_2	6012429049005009084	7653888	af6344b617aedb2cc08be6790ddf12da77c3797b2b125a3e4e985c60316d39ad
sub-101	68	HB_1	1691871159044282180	7186176	324429f99f4da02c827d0994546acfd0498304fbaeab8ab701c1ef3af19f3875
sub-101	68	HB_2	17817910945257643757	7186176	83f835ff9afe87cf6b603b5044b6304f07222e627805c810686e9f8846002e59
sub-103	71	HB_1	11928996394615871859	6590208	bacafc95cbd683cf6ab481f007a895071e37ac64b24fceeeda1674724113461c
