subject	pid	condition	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-20	13	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	11.411013344065971	4024320	True
sub-20	13	TRAIN-BOTH-20DB	HB_2	20.0	20.0	0.0	16.020524912534835	4024320	True
sub-20	13	TRAIN-BOTH-10DB	HB_1	10.0	10.0	0.0	36.084792577823094	4024320	True
sub-20	13	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	50.66134803507988	4024320	True
sub-20	13	TRAIN-HB1-10DB	HB_1	10.0	10.0	0.0	36.084792577823094	4024320	True
sub-20	13	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	50.66134803507988	4024320	True
sub-21	93	TRAIN-BOTH-20DB	HB_1	20.0	20.0	0.0	13.050708961363455	4005120	True
sub-21	93	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	14.372315849222886	4005120	True
sub-21	93	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	41.26996539787893	4005120	True
sub-21	93	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	45.449253334881455	4005120	True
sub-21	93	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	41.26996539787893	4005120	True
sub-21	93	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	45.449253334881455	4005120	True
sub-22	14	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	4.84497511084289	3970560	True
sub-22	14	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999993	7.105427357601002e-15	9.08345010107564	3970560	True
sub-22	14	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	15.32115655709029	3970560	True
sub-22	14	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	28.7243913318857	3970560	True
sub-22	14	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	15.32115655709029	3970560	True
sub-22	14	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	28.7243913318857	3970560	True
sub-24	16	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	13.305347808419848	3582720	True
sub-24	16	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	3.3939052610955573	3582720	True
sub-24	16	TRAIN-BOTH-10DB	HB_1	10.0	10.00000000000001	1.0658141036401503e-14	42.075204135336385	3582720	True
sub-24	16	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	10.73247078789041	3582720	True
sub-24	16	TRAIN-HB1-10DB	HB_1	10.0	10.00000000000001	1.0658141036401503e-14	42.075204135336385	3582720	True
sub-24	16	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	10.73247078789041	3582720	True
sub-27	19	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	6.19721891958865	3655680	True
sub-27	19	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	6.372376395785106	3655680	True
sub-27	19	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	19.597326944588005	3655680	True
sub-27	19	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	20.151223518575534	3655680	True
