dataset	snapshot	subject	acquisition	relative_path	expected_bytes	local_bytes	partial_bytes	bytes_changed_this_run	status
ds005555	1.1.1	sub-30	psg	sub-30/eeg/sub-30_task-Sleep_acq-psg_eeg.edf	179433216	179433216	0	179433216	downloaded
ds005555	1.1.1	sub-31	headband	sub-31/eeg/sub-31_task-Sleep_acq-headband_eeg.edf	117612544	117612544	0	117612544	downloaded
ds005555	1.1.1	sub-31	psg	sub-31/eeg/sub-31_task-Sleep_acq-psg_eeg.edf	182952704	182952704	0	182952704	downloaded
ds005555	1.1.1	sub-32	headband	sub-32/eeg/sub-32_task-Sleep_acq-headband_eeg.edf	115101184	115101184	0	115101184	downloaded
ds005555	1.1.1	sub-32	psg	sub-32/eeg/sub-32_task-Sleep_acq-psg_eeg.edf	179046144	179046144	0	179046144	downloaded
ds005555	1.1.1	sub-33	headband	sub-33/eeg/sub-33_task-Sleep_acq-headband_eeg.edf	121197568	121197568	0	121197568	downloaded
ds005555	1.1.1	sub-33	psg	sub-33/eeg/sub-33_task-Sleep_acq-psg_eeg.edf	188529408	188529408	0	188529408	downloaded
ds005555	1.1.1	sub-34	headband	sub-34/eeg/sub-34_task-Sleep_acq-headband_eeg.edf	129869824	129869824	0	129869824	downloaded
ds005555	1.1.1	sub-34	psg	sub-34/eeg/sub-34_task-Sleep_acq-psg_eeg.edf	158729728	158729728	0	158729728	downloaded
ds005555	1.1.1	sub-35	headband	sub-35/eeg/sub-35_task-Sleep_acq-headband_eeg.edf	121105408	121105408	0	121105408	downloaded
ds005555	1.1.1	sub-35	psg	sub-35/eeg/sub-35_task-Sleep_acq-psg_eeg.edf	188386048	188386048	0	188386048	downloaded
ds005555	1.1.1	sub-36	headband	sub-36/eeg/sub-36_task-Sleep_acq-headband_eeg.edf	123727360	123727360	0	123727360	downloaded
ds005555	1.1.1	sub-36	psg	sub-36/eeg/sub-36_task-Sleep_acq-psg_eeg.edf	192464640	192464640	0	192464640	downloaded
ds005555	1.1.1	sub-37	headband	sub-37/eeg/sub-37_task-Sleep_acq-headband_eeg.edf	118492672	118492672	0	118492672	downloaded
ds005555	1.1.1	sub-37	psg	sub-37/eeg/sub-37_task-Sleep_acq-psg_eeg.edf	184321792	184321792	0	184321792	downloaded
ds005555	1.1.1	sub-38	headband	sub-38/eeg/sub-38_task-Sleep_acq-headband_eeg.edf	117736960	117736960	0	117736960	downloaded
ds005555	1.1.1	sub-38	psg	sub-38/eeg/sub-38_task-Sleep_acq-psg_eeg.edf	183146240	183146240	0	183146240	downloaded
ds005555	1.1.1	sub-39	headband	sub-39/eeg/sub-39_task-Sleep_acq-headband_eeg.edf	125400064	125400064	0	125400064	downloaded
ds005555	1.1.1	sub-39	psg	sub-39/eeg/sub-39_task-Sleep_acq-psg_eeg.edf	195066624	195066624	0	195066624	downloaded
ds005555	1.1.1	sub-40	headband	sub-40/eeg/sub-40_task-Sleep_acq-headband_eeg.edf	115234816	115234816	0	115234816	downloaded
ds005555	1.1.1	sub-40	psg	sub-40/eeg/sub-40_task-Sleep_acq-psg_eeg.edf	179254016	179254016	0	179254016	downloaded
ds005555	1.1.1	sub-41	headband	sub-41/eeg/sub-41_task-Sleep_acq-headband_eeg.edf	126731776	126731776	0	126731776	downloaded
ds005555	1.1.1	sub-41	psg	sub-41/eeg/sub-41_task-Sleep_acq-psg_eeg.edf	197138176	197138176	0	197138176	downloaded
ds005555	1.1.1	sub-42	headband	sub-42/eeg/sub-42_task-Sleep_acq-headband_eeg.edf	123681280	123681280	0	123681280	downloaded
ds005555	1.1.1	sub-42	psg	sub-42/eeg/sub-42_task-Sleep_acq-psg_eeg.edf	192392960	192392960	0	192392960	downloaded
ds005555	1.1.1	sub-43	headband	sub-43/eeg/sub-43_task-Sleep_acq-headband_eeg.edf	116147200	116147200	0	116147200	downloaded
ds005555	1.1.1	sub-43	psg	sub-43/eeg/sub-43_task-Sleep_acq-psg_eeg.edf	180673280	180673280	0	180673280	downloaded
ds005555	1.1.1	sub-44	headband	sub-44/eeg/sub-44_task-Sleep_acq-headband_eeg.edf	117621760	117621760	0	117621760	downloaded
ds005555	1.1.1	sub-44	psg	sub-44/eeg/sub-44_task-Sleep_acq-psg_eeg.edf	143759872	143759872	0	143759872	downloaded
ds005555	1.1.1	sub-45	headband	sub-45/eeg/sub-45_task-Sleep_acq-headband_eeg.edf	113552896	113552896	0	113552896	downloaded
ds005555	1.1.1	sub-45	psg	sub-45/eeg/sub-45_task-Sleep_acq-psg_eeg.edf	138786816	138786816	0	138786816	downloaded
ds005555	1.1.1	sub-46	headband	sub-46/eeg/sub-46_task-Sleep_acq-headband_eeg.edf	133832704	133832704	0	133832704	downloaded
ds005555	1.1.1	sub-46	psg	sub-46/eeg/sub-46_task-Sleep_acq-psg_eeg.edf	163573248	163573248	0	163573248	downloaded
ds005555	1.1.1	sub-47	headband	sub-47/eeg/sub-47_task-Sleep_acq-headband_eeg.edf	112262656	112262656	0	112262656	downloaded
ds005555	1.1.1	sub-47	psg	sub-47/eeg/sub-47_task-Sleep_acq-psg_eeg.edf	174630656	174630656	0	174630656	downloaded
ds005555	1.1.1	sub-48	headband	sub-48/eeg/sub-48_task-Sleep_acq-headband_eeg.edf	145002496	145002496	0	145002496	downloaded
ds005555	1.1.1	sub-48	psg	sub-48/eeg/sub-48_task-Sleep_acq-psg_eeg.edf	225559296	225559296	0	225559296	downloaded
ds005555	1.1.1	sub-49	headband	sub-49/eeg/sub-49_task-Sleep_acq-headband_eeg.edf	124810240	124810240	0	124810240	downloaded
ds005555	1.1.1	sub-49	psg	sub-49/eeg/sub-49_task-Sleep_acq-psg_eeg.edf	152545792	152545792	0	152545792	downloaded
ds005555	1.1.1	sub-50	headband	sub-50/eeg/sub-50_task-Sleep_acq-headband_eeg.edf	123773440	123773440	0	123773440	downloaded
ds005555	1.1.1	sub-50	psg	sub-50/eeg/sub-50_task-Sleep_acq-psg_eeg.edf	192536320	192536320	0	192536320	downloaded
ds005555	1.1.1	sub-51	headband	sub-51/eeg/sub-51_task-Sleep_acq-headband_eeg.edf	123773440	123773440	0	123773440	downloaded
ds005555	1.1.1	sub-51	psg	sub-51/eeg/sub-51_task-Sleep_acq-psg_eeg.edf	151278592	151278592	0	151278592	downloaded
ds005555	1.1.1	sub-52	headband	sub-52/eeg/sub-52_task-Sleep_acq-headband_eeg.edf	127699456	127699456	0	127699456	downloaded
ds005555	1.1.1	sub-52	psg	sub-52/eeg/sub-52_task-Sleep_acq-psg_eeg.edf	156077056	156077056	0	156077056	downloaded
ds005555	1.1.1	sub-53	headband	sub-53/eeg/sub-53_task-Sleep_acq-headband_eeg.edf	92199424	92199424	0	0	verified_existing
ds005555	1.1.1	sub-53	psg	sub-53/eeg/sub-53_task-Sleep_acq-psg_eeg.edf	143421184	143421184	0	0	verified_existing
ds005555	1.1.1	sub-54	headband	sub-54/eeg/sub-54_task-Sleep_acq-headband_eeg.edf	109318144	109318144	0	109318144	downloaded
ds005555	1.1.1	sub-54	psg	sub-54/eeg/sub-54_task-Sleep_acq-psg_eeg.edf	170050304	170050304	0	170050304	downloaded
ds005555	1.1.1	sub-55	headband	sub-55/eeg/sub-55_task-Sleep_acq-headband_eeg.edf	148375552	148375552	0	148375552	downloaded
ds005555	1.1.1	sub-55	psg	sub-55/eeg/sub-55_task-Sleep_acq-psg_eeg.edf	181347840	181347840	0	181347840	downloaded
ds005555	1.1.1	sub-56	headband	sub-56/eeg/sub-56_task-Sleep_acq-headband_eeg.edf	132468736	132468736	0	132468736	downloaded
ds005555	1.1.1	sub-56	psg	sub-56/eeg/sub-56_task-Sleep_acq-psg_eeg.edf	161906176	161906176	0	161906176	downloaded
ds005555	1.1.1	sub-57	headband	sub-57/eeg/sub-57_task-Sleep_acq-headband_eeg.edf	142666240	142666240	0	142666240	downloaded
ds005555	1.1.1	sub-57	psg	sub-57/eeg/sub-57_task-Sleep_acq-psg_eeg.edf	174369792	174369792	0	174369792	downloaded
ds005555	1.1.1	sub-58	headband	sub-58/eeg/sub-58_task-Sleep_acq-headband_eeg.edf	138989056	138989056	0	138989056	downloaded
ds005555	1.1.1	sub-58	psg	sub-58/eeg/sub-58_task-Sleep_acq-psg_eeg.edf	169875456	169875456	0	169875456	downloaded
ds005555	1.1.1	sub-59	headband	sub-59/eeg/sub-59_task-Sleep_acq-headband_eeg.edf	146214400	146214400	0	146214400	downloaded
ds005555	1.1.1	sub-59	psg	sub-59/eeg/sub-59_task-Sleep_acq-psg_eeg.edf	178706432	178706432	0	178706432	downloaded
ds005555	1.1.1	sub-60	headband	sub-60/eeg/sub-60_task-Sleep_acq-headband_eeg.edf	127575040	127575040	0	127575040	downloaded
ds005555	1.1.1	sub-60	psg	sub-60/eeg/sub-60_task-Sleep_acq-psg_eeg.edf	155924992	155924992	0	155924992	downloaded
ds005555	1.1.1	sub-61	headband	sub-61/eeg/sub-61_task-Sleep_acq-headband_eeg.edf	131178496	131178496	0	131178496	downloaded
