model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
LR-OOF	train_oof	primary	15.0	0.41	82	64	180	4281	124	4127	56	30	629.4916666666667	0.029169607151258527	0.6888888888888889	0.05596930715414128	6.5560836124386075	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.42	82	64	180	4195	123	4042	57	30	629.4916666666667	0.029531812725090038	0.6833333333333333	0.05661680092059839	6.421054025073141	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.43	82	64	180	4120	123	3967	57	30	629.4916666666667	0.030073349633251832	0.6833333333333333	0.05761124121779859	6.301910271515376	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.44	82	64	180	4048	123	3895	57	30	629.4916666666667	0.030612244897959183	0.6833333333333333	0.058599333015721775	6.187532268099922	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.45	82	64	180	3958	123	3805	57	30	629.4916666666667	0.03131364562118126	0.6833333333333333	0.05988315481986368	6.044559763830604	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.46	82	64	180	3883	122	3731	58	30	629.4916666666667	0.03166363872307293	0.6777777777777778	0.060500867840317385	5.927004593653609	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.47	82	64	180	3815	122	3663	58	30	629.4916666666667	0.03223249669749009	0.6777777777777778	0.06153846153846154	5.818980923761236	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.48	82	64	180	3753	122	3601	58	30	629.4916666666667	0.032769272092398605	0.6777777777777778	0.0625160133230848	5.720488754153483	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.49	82	64	180	3686	122	3534	58	30	629.4916666666667	0.03336980306345733	0.6777777777777778	0.06360792492179354	5.614053667641881	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.5	82	64	180	3616	120	3466	60	30	629.4916666666667	0.03346346904629113	0.6666666666666666	0.06372809346787042	5.506029997749507	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.51	82	64	180	3566	119	3417	61	30	629.4916666666667	0.03365384615384615	0.6611111111111111	0.06404736275565123	5.4281894120917675	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.52	82	64	180	3505	119	3356	61	30	629.4916666666667	0.034244604316546766	0.6611111111111111	0.06511627906976744	5.331285825864785	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.53	82	64	180	3455	119	3306	61	30	629.4916666666667	0.034744525547445254	0.6611111111111111	0.06601941747572816	5.251856656826275	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.54	82	64	180	3398	119	3249	61	30	629.4916666666667	0.03533254156769596	0.6611111111111111	0.06708004509582864	5.161307404122374	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.55	82	64	180	3314	119	3165	61	30	629.4916666666667	0.03623629719853837	0.6611111111111111	0.0687066974595843	5.027866400137677	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.56	82	64	180	3261	118	3113	62	30	629.4916666666667	0.036521200866604764	0.6555555555555556	0.06918792143066549	4.945260064337627	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.57	82	64	180	3205	119	3056	61	30	629.4916666666667	0.037480314960629924	0.6611111111111111	0.07093889716840536	4.854710811633725	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.58	82	64	180	3160	119	3011	61	30	629.4916666666667	0.03801916932907348	0.6611111111111111	0.07190332326283988	4.783224559499066	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.59	82	64	180	3103	119	2954	61	30	629.4916666666667	0.0387243735763098	0.6611111111111111	0.07316323393790347	4.692675306795166	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.6	82	64	180	3053	117	2906	63	30	629.4916666666667	0.0387032748924909	0.65	0.07305650952232282	4.616423304518196	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.61	82	64	180	3013	117	2866	63	30	629.4916666666667	0.03922225947033188	0.65	0.07398039835599114	4.552879969287388	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.62	82	64	180	2971	117	2824	63	30	629.4916666666667	0.03978238694321659	0.65	0.07497596924062801	4.48615946729504	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.63	82	64	180	2942	117	2795	63	30	629.4916666666667	0.04017857142857143	0.65	0.07567917205692108	4.440090549252703	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.64	82	64	180	2905	115	2760	65	30	629.4916666666667	0.04	0.6388888888888888	0.07528641571194762	4.384490130925747	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.65	82	64	180	2852	114	2708	66	30	629.4916666666667	0.040396881644223954	0.6333333333333333	0.0759493670886076	4.301883795125697	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.66	82	64	180	2802	112	2660	68	30	629.4916666666667	0.04040404040404041	0.6222222222222222	0.07588075880758807	4.225631792848727	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.67	82	64	180	2760	111	2619	69	30	629.4916666666667	0.04065934065934066	0.6166666666666667	0.07628865979381444	4.160499874237149	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.68	82	64	180	2720	110	2581	70	29	629.4916666666667	0.04087699739873653	0.6111111111111112	0.07662835249042145	4.100133705767881	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.69	82	64	180	2676	110	2537	70	29	629.4916666666667	0.0415564790328674	0.6111111111111112	0.07782101167315175	4.030236037013993	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.7	82	64	180	2632	110	2493	70	29	629.4916666666667	0.042258932001536686	0.6111111111111112	0.07905138339920949	3.960338368260104	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.71	82	64	180	2594	109	2456	71	29	629.4916666666667	0.04249512670565302	0.6055555555555555	0.07941712204007285	3.9015607831716066	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.72	82	64	180	2560	108	2423	72	29	629.4916666666667	0.04267088107467404	0.6	0.07967539653264478	3.84913753160619	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.73	82	64	180	2512	107	2376	73	29	629.4916666666667	0.04309303262182843	0.5944444444444444	0.08036049568156214	3.774474112709991	0.0	0.0
