transition_id	transition	boundary_onset_sec	source	channel	window_start_sec	window_end_sec	window_seconds	sfreq_hz	expected_samples	actual_samples	finite_fraction	missing_samples	min_value	p01_value	median_value	p99_value	max_value	peak_to_peak	std	mad	outlier_fraction_10mad	low_diff_fraction	quality_flag
1	REM_to_Wake	1620.0	psg	PSG_EMG	1500.0	1740.0	240.0	256.0	61440	61440	1.0	0	-0.0003114793621728847	-1.938506141756313e-05	-3.955138475623712e-06	3.706111238269627e-05	8.68665598535134e-05	0.0003983459220263981	1.226904678436806e-05	4.980544747081711e-06	0.003515625	0.1217142206090594	pass_basic
2	Wake_to_REM	1650.0	headband	HB_1	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.00015010299839780287	-5.741451132982395e-05	3.204394598304257e-07	7.177294575417717e-05	0.00015577935454337354	0.00030588235294117644	2.023462844256263e-05	8.056763561455709e-06	0.013590494791666666	0.02078484350331223	pass_basic
2	Wake_to_REM	1650.0	headband	HB_2	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.0001960631723506525	-7.6310368505379e-05	7.782101167313183e-07	6.742961776150129e-05	0.00015193408102540606	0.0003479972533760586	2.3824223695182485e-05	9.155413138017852e-06	0.013720703125	0.019417633750549324	pass_basic
2	Wake_to_REM	1650.0	headband	HB_PULSE	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-5.473220416571309	-1.6851682307164235	-0.014305333028165338	1.627946898603787	6.342984664682981	11.81620508125429	0.6930205684235665	0.3662165255207141	0.006363932291666667	0.2128615374599196	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_F3	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.0010667048367742425	-0.0010362994884476995	-0.0010128232932631416	-0.0009920585348592351	-0.0009694242805218582	9.728055625238426e-05	8.382552844593544e-06	4.7405075455863276e-06	0.0006510416666666666	0.016780872084506585	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_F4	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.001010204465552758	-0.0009783758426794842	-0.0009529266636148624	-0.0009156103471427481	-0.0008815180506599528	0.00012868641489280526	1.0510719545976497e-05	5.487693598840346e-06	0.0009440104166666667	0.016113543514705644	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_C3	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-7.729610131990539e-05	-4.9658960860608836e-05	-3.271534294651713e-06	6.758989852750444e-05	0.00011987487602044708	0.00019717097734035246	1.6619567675864494e-05	6.445410849164569e-06	0.011311848958333334	0.02124058008756653	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_C4	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.0009886031918059056	-0.0009684652193179221	-0.0009478461348592359	-0.0009242029180132757	-0.0009035838335545895	8.501935825131607e-05	8.342966395758316e-06	4.811119707026808e-06	0.0	0.018099252917527956	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_O1	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-9.047989623865111e-05	-5.899601739528496e-05	-2.1972991531242846e-06	8.161452658884577e-05	0.00012358587014572365	0.00021406576638437476	1.782612437276336e-05	5.957122148470282e-06	0.021451822916666665	0.02327511841013037	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_O2	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.0013717261448508429	-0.0013571584515175098	-0.001343044227237354	-0.0013255856686900129	-0.0013106778735667963	6.104827128404662e-05	5.576690596717614e-06	3.0042324773021933e-06	0.0001953125	0.022412474161363303	pass_basic
