outer_fold	candidate	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
3	BGRU-CRF	0.9999546021312976	66	51	147	18	6	12	141	0	503.6166666666667	0.3333333333333333	0.04081632653061224	0.07272727272727272	0.02382764668894993
3	BGRU-CRF	0.9999646437492582	66	51	147	15	5	10	142	0	503.6166666666667	0.3333333333333333	0.034013605442176874	0.06172839506172839	0.019856372240791606
3	BGRU-CRF	0.9999724643088853	66	51	147	13	5	8	142	0	503.6166666666667	0.38461538461538464	0.034013605442176874	0.0625	0.015885097792633286
3	BGRU-CRF	0.9999785550515792	66	51	147	13	5	8	142	0	503.6166666666667	0.38461538461538464	0.034013605442176874	0.0625	0.015885097792633286
3	BGRU-CRF	0.999983298578152	66	51	147	9	4	5	143	0	503.6166666666667	0.4444444444444444	0.027210884353741496	0.05128205128205128	0.009928186120395803
3	BGRU-CRF	0.9999869928715335	66	51	147	6	2	4	145	0	503.6166666666667	0.3333333333333333	0.013605442176870748	0.026143790849673203	0.007942548896316643
3	BGRU-CRF	0.9999898700090192	66	51	147	6	2	4	145	0	503.6166666666667	0.3333333333333333	0.013605442176870748	0.026143790849673203	0.007942548896316643
3	BGRU-CRF	0.9999921107374138	66	51	147	6	2	4	145	0	503.6166666666667	0.3333333333333333	0.013605442176870748	0.026143790849673203	0.007942548896316643
3	BGRU-CRF	0.9999938558253978	66	51	147	5	2	3	145	0	503.6166666666667	0.4	0.013605442176870748	0.02631578947368421	0.005956911672237482
3	BGRU-CRF	0.9999952149055051	66	51	147	5	2	3	145	0	503.6166666666667	0.4	0.013605442176870748	0.02631578947368421	0.005956911672237482
3	BGRU-CRF	0.9999962733607158	66	51	147	4	2	2	145	0	503.6166666666667	0.5	0.013605442176870748	0.026490066225165563	0.0039712744481583215
3	BGRU-CRF	0.9999970976880148	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	BGRU-CRF	0.999997739675702	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	BGRU-CRF	0.9999982396567868	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	BGRU-CRF	0.999998629042793	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	BGRU-CRF	0.9999989322971299	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	BGRU-CRF	0.9999991684719722	66	51	147	2	1	1	146	0	503.6166666666667	0.5	0.006802721088435374	0.013422818791946308	0.0019856372240791608
3	TCN-CRF	0.01	66	51	147	2303	91	2199	56	13	503.6166666666667	0.03973799126637555	0.6190476190476191	0.07468198604842019	4.3664162557500745
3	TCN-CRF	0.060000000000000005	66	51	147	1735	83	1639	64	13	503.6166666666667	0.04819976771196283	0.564625850340136	0.0888175494917068	3.2544594102657443
3	TCN-CRF	0.11	66	51	147	1542	80	1449	67	13	503.6166666666667	0.052321778940483975	0.54421768707483	0.0954653937947494	2.8771883376907037
3	TCN-CRF	0.16000000000000003	66	51	147	1418	78	1327	69	13	503.6166666666667	0.05551601423487545	0.5306122448979592	0.10051546391752578	2.6349405963530463
3	TCN-CRF	0.21000000000000002	66	51	147	1335	76	1246	71	13	503.6166666666667	0.057488653555219364	0.5170068027210885	0.10347174948944861	2.474103981202634
3	TCN-CRF	0.26	66	51	147	1268	75	1180	72	13	503.6166666666667	0.05976095617529881	0.5102040816326531	0.10699001426533523	2.34305192441341
3	TCN-CRF	0.31000000000000005	66	51	147	1211	74	1124	73	13	503.6166666666667	0.06176961602671119	0.5034013605442177	0.1100371747211896	2.231856239864977
3	TCN-CRF	0.36000000000000004	66	51	147	1160	74	1073	73	13	503.6166666666667	0.06451612903225806	0.5034013605442177	0.1143740340030912	2.1305887414369393
3	TCN-CRF	0.41000000000000003	66	51	147	1115	73	1029	74	13	503.6166666666667	0.0662431941923775	0.4965986394557823	0.11689351481184948	2.0432207035774566
3	TCN-CRF	0.46	66	51	147	1055	73	969	74	13	503.6166666666667	0.07005758157389635	0.4965986394557823	0.12279226240538267	1.9240824701327068
3	TCN-CRF	0.51	66	51	147	1009	70	927	77	12	503.6166666666667	0.07021063189568706	0.47619047619047616	0.12237762237762238	1.840685706721382
3	TCN-CRF	0.56	66	51	147	964	70	883	77	11	503.6166666666667	0.07345225603357818	0.47619047619047616	0.12727272727272726	1.753317668861899
3	TCN-CRF	0.6100000000000001	66	51	147	922	70	842	77	10	503.6166666666667	0.07675438596491228	0.47619047619047616	0.13220018885741266	1.6719065426746533
3	TCN-CRF	0.66	66	51	147	882	70	802	77	10	503.6166666666667	0.08027522935779817	0.47619047619047616	0.13738959764474976	1.5924810537114868
3	TCN-CRF	0.7100000000000001	66	51	147	848	69	769	78	10	503.6166666666667	0.08233890214797136	0.46938775510204084	0.1401015228426396	1.5269550253168747
3	TCN-CRF	0.76	66	51	147	818	69	739	78	10	503.6166666666667	0.0853960396039604	0.46938775510204084	0.14450261780104712	1.4673859085944998
3	TCN-CRF	0.81	66	51	147	768	68	690	79	10	503.6166666666667	0.08970976253298153	0.46258503401360546	0.15027624309392265	1.3700896846146209
3	TCN-CRF	0.8600000000000001	66	51	147	707	60	638	87	9	503.6166666666667	0.08595988538681948	0.40816326530612246	0.14201183431952663	1.2668365489625046
3	TCN-CRF	0.91	66	51	147	633	56	568	91	9	503.6166666666667	0.08974358974358974	0.38095238095238093	0.14526588845654995	1.1278419432769633
3	TCN-CRF	0.9525741268224334	66	51	147	543	53	481	94	9	503.6166666666667	0.09925093632958802	0.36054421768707484	0.15565345080763582	0.9550915047820763
3	TCN-CRF	0.9626731126558706	66	51	147	513	53	451	94	9	503.6166666666667	0.10515873015873016	0.36054421768707484	0.16282642089093702	0.8955223880597015
3	TCN-CRF	0.9706877692486436	66	51	147	488	53	426	94	9	503.6166666666667	0.11064718162839249	0.36054421768707484	0.16932907348242812	0.8458814574577225
3	TCN-CRF	0.9770226300899744	66	51	147	459	51	399	96	9	503.6166666666667	0.11333333333333333	0.3469387755102041	0.1708542713567839	0.7922692524075852
3	TCN-CRF	0.9820137900379085	66	51	147	434	51	374	96	9	503.6166666666667	0.12	0.3469387755102041	0.17832167832167833	0.7426283218056061
3	TCN-CRF	0.9859363729567544	66	51	147	406	49	348	98	9	503.6166666666667	0.12342569269521411	0.3333333333333333	0.1801470588235294	0.6910017539795479
3	TCN-CRF	0.9890130573694068	66	51	147	376	46	321	101	9	503.6166666666667	0.12534059945504086	0.3129251700680272	0.17898832684824903	0.6373895489294106
3	TCN-CRF	0.991422514586288	66	51	147	358	42	307	105	9	503.6166666666667	0.12034383954154727	0.2857142857142857	0.1693548387096774	0.6095906277923023
3	TCN-CRF	0.9933071490757153	66	51	147	340	40	291	107	9	503.6166666666667	0.12084592145015106	0.272108843537415	0.16736401673640167	0.5778204322070357
3	TCN-CRF	0.9947798743064417	66	51	147	319	40	270	107	9	503.6166666666667	0.12903225806451613	0.272108843537415	0.175054704595186	0.5361220505013734
3	TCN-CRF	0.995929862284104	66	51	147	291	38	244	109	9	503.6166666666667	0.1347517730496454	0.2585034013605442	0.17715617715617715	0.4844954826753152
3	TCN-CRF	0.9968273171575148	66	51	147	270	34	227	113	9	503.6166666666667	0.13026819923371646	0.23129251700680273	0.16666666666666666	0.4507396498659695
3	TCN-CRF	0.9975273768433653	66	51	147	253	32	212	115	9	503.6166666666667	0.13114754098360656	0.21768707482993196	0.1636828644501279	0.42095509150478205
3	TCN-CRF	0.9980732653366725	66	51	147	241	31	201	116	9	503.6166666666667	0.1336206896551724	0.2108843537414966	0.16358839050131926	0.3991130820399113
3	TCN-CRF	0.998498817743263	66	51	147	224	29	186	118	9	503.6166666666667	0.13488372093023257	0.19727891156462585	0.16022099447513813	0.3693285236787239
3	TCN-CRF	0.9988304897349445	66	51	147	208	28	171	119	9	503.6166666666667	0.1407035175879397	0.19047619047619047	0.16184971098265896	0.3395439653175365
3	TCN-CRF	0.9990889488055994	66	51	147	198	28	161	119	9	503.6166666666667	0.14814814814814814	0.19047619047619047	0.16666666666666666	0.3196875930767449
3	TCN-CRF	0.9992903296008995	66	51	147	191	27	155	120	9	503.6166666666667	0.14835164835164835	0.1836734693877551	0.1641337386018237	0.3077737697322699
3	TCN-CRF	0.9994472213630764	66	51	147	179	24	148	123	7	503.6166666666667	0.13953488372093023	0.16326530612244897	0.15047021943573669	0.29387430916371576
3	TCN-CRF	0.9995694429186754	66	51	147	166	22	137	125	7	503.6166666666667	0.13836477987421383	0.14965986394557823	0.1437908496732026	0.272032299698845
3	TCN-CRF	0.9996646498695336	66	51	147	148	18	124	129	6	503.6166666666667	0.1267605633802817	0.12244897959183673	0.1245674740484429	0.24621901578581593
3	TCN-CRF	0.9997388096809043	66	51	147	140	15	119	132	6	503.6166666666667	0.11194029850746269	0.10204081632653061	0.10676156583629894	0.23629082966542012
3	TCN-CRF	0.9997965730219448	66	51	147	131	15	110	132	6	503.6166666666667	0.12	0.10204081632653061	0.11029411764705882	0.21842009464870768
3	TCN-CRF	0.9998415637808975	66	51	147	122	13	103	134	6	503.6166666666667	0.11206896551724138	0.08843537414965986	0.09885931558935361	0.20452063408015356
3	TCN-CRF	0.9998766054240137	66	51	147	112	11	95	136	6	503.6166666666667	0.10377358490566038	0.07482993197278912	0.08695652173913043	0.18863553628752028
3	TCN-CRF	0.9999038975845005	66	51	147	107	11	90	136	6	503.6166666666667	0.10891089108910891	0.07482993197278912	0.08870967741935484	0.17870735016712447
3	TCN-CRF	0.9999251537724895	66	51	147	100	10	85	137	5	503.6166666666667	0.10526315789473684	0.06802721088435375	0.08264462809917356	0.16877916404672866
3	TCN-CRF	0.9999417087343389	66	51	147	95	7	83	140	5	503.6166666666667	0.07777777777777778	0.047619047619047616	0.05907172995780591	0.16480788959857035
3	TCN-CRF	0.9999546021312976	66	51	147	87	6	76	141	5	503.6166666666667	0.07317073170731707	0.04081632653061224	0.05240174672489083	0.15090842903001622
3	TCN-CRF	0.9999646437492582	66	51	147	83	5	73	142	5	503.6166666666667	0.0641025641025641	0.034013605442176874	0.044444444444444446	0.14495151735777873
3	TCN-CRF	0.9999724643088853	66	51	147	75	4	66	143	5	503.6166666666667	0.05714285714285714	0.027210884353741496	0.03686635944700461	0.1310520567892246
3	TCN-CRF	0.9999785550515792	66	51	147	69	4	62	143	3	503.6166666666667	0.06060606060606061	0.027210884353741496	0.03755868544600939	0.12310950789290796
3	TCN-CRF	0.999983298578152	66	51	147	64	4	57	143	3	503.6166666666667	0.06557377049180328	0.027210884353741496	0.038461538461538464	0.11318132177251217
3	TCN-CRF	0.9999869928715335	66	51	147	61	4	54	143	3	503.6166666666667	0.06896551724137931	0.027210884353741496	0.03902439024390244	0.10722441010027468
3	TCN-CRF	0.9999898700090192	66	51	147	59	4	52	143	3	503.6166666666667	0.07142857142857142	0.027210884353741496	0.03940886699507389	0.10325313565211636
3	TCN-CRF	0.9999921107374138	66	51	147	56	4	49	143	3	503.6166666666667	0.07547169811320754	0.027210884353741496	0.04	0.09729622397987887
3	TCN-CRF	0.9999938558253978	66	51	147	52	3	47	144	2	503.6166666666667	0.06	0.02040816326530612	0.030456852791878174	0.09332494953172055
3	TCN-CRF	0.9999952149055051	66	51	147	50	3	45	144	2	503.6166666666667	0.0625	0.02040816326530612	0.03076923076923077	0.08935367508356223
