subject	role	exists	bytes	relative_path
sub-11	headband_events_json	True	837	sub-11/eeg/sub-11_task-Sleep_acq-headband_events.json
sub-11	headband_events_tsv	True	29098	sub-11/eeg/sub-11_task-Sleep_acq-headband_events.tsv
sub-11	psg_channels	True	190	sub-11/eeg/sub-11_task-Sleep_acq-psg_channels.tsv
sub-11	psg_sidecar	True	497	sub-11/eeg/sub-11_task-Sleep_acq-psg_eeg.json
sub-11	psg_events_json	True	1022	sub-11/eeg/sub-11_task-Sleep_acq-psg_events.json
sub-11	psg_events_tsv	True	30915	sub-11/eeg/sub-11_task-Sleep_acq-psg_events.tsv
sub-12	scan_metadata	True	93	sub-12/sub-12_scans.tsv
sub-12	headband_channels	True	70	sub-12/eeg/sub-12_task-Sleep_acq-headband_channels.tsv
sub-12	headband_sidecar	True	513	sub-12/eeg/sub-12_task-Sleep_acq-headband_eeg.json
sub-12	headband_events_json	True	837	sub-12/eeg/sub-12_task-Sleep_acq-headband_events.json
sub-12	headband_events_tsv	True	29775	sub-12/eeg/sub-12_task-Sleep_acq-headband_events.tsv
sub-12	psg_channels	True	252	sub-12/eeg/sub-12_task-Sleep_acq-psg_channels.tsv
sub-12	psg_sidecar	True	498	sub-12/eeg/sub-12_task-Sleep_acq-psg_eeg.json
sub-12	psg_events_json	True	1022	sub-12/eeg/sub-12_task-Sleep_acq-psg_events.json
sub-12	psg_events_tsv	True	31816	sub-12/eeg/sub-12_task-Sleep_acq-psg_events.tsv
sub-13	scan_metadata	True	93	sub-13/sub-13_scans.tsv
sub-13	headband_channels	True	70	sub-13/eeg/sub-13_task-Sleep_acq-headband_channels.tsv
sub-13	headband_sidecar	True	513	sub-13/eeg/sub-13_task-Sleep_acq-headband_eeg.json
sub-13	headband_events_json	True	837	sub-13/eeg/sub-13_task-Sleep_acq-headband_events.json
sub-13	headband_events_tsv	True	29839	sub-13/eeg/sub-13_task-Sleep_acq-headband_events.tsv
sub-13	psg_channels	True	252	sub-13/eeg/sub-13_task-Sleep_acq-psg_channels.tsv
sub-13	psg_sidecar	True	498	sub-13/eeg/sub-13_task-Sleep_acq-psg_eeg.json
sub-13	psg_events_json	True	1022	sub-13/eeg/sub-13_task-Sleep_acq-psg_events.json
sub-13	psg_events_tsv	True	31299	sub-13/eeg/sub-13_task-Sleep_acq-psg_events.tsv
sub-14	scan_metadata	True	93	sub-14/sub-14_scans.tsv
sub-14	headband_channels	True	237	sub-14/eeg/sub-14_task-Sleep_acq-headband_channels.tsv
sub-14	headband_sidecar	True	513	sub-14/eeg/sub-14_task-Sleep_acq-headband_eeg.json
sub-14	headband_events_json	True	837	sub-14/eeg/sub-14_task-Sleep_acq-headband_events.json
sub-14	headband_events_tsv	True	31503	sub-14/eeg/sub-14_task-Sleep_acq-headband_events.tsv
sub-14	psg_channels	True	190	sub-14/eeg/sub-14_task-Sleep_acq-psg_channels.tsv
sub-14	psg_sidecar	True	497	sub-14/eeg/sub-14_task-Sleep_acq-psg_eeg.json
sub-14	psg_events_json	True	1022	sub-14/eeg/sub-14_task-Sleep_acq-psg_events.json
sub-14	psg_events_tsv	True	33635	sub-14/eeg/sub-14_task-Sleep_acq-psg_events.tsv
sub-15	scan_metadata	True	93	sub-15/sub-15_scans.tsv
sub-15	headband_channels	True	70	sub-15/eeg/sub-15_task-Sleep_acq-headband_channels.tsv
sub-15	headband_sidecar	True	513	sub-15/eeg/sub-15_task-Sleep_acq-headband_eeg.json
sub-15	headband_events_json	True	837	sub-15/eeg/sub-15_task-Sleep_acq-headband_events.json
sub-15	headband_events_tsv	True	32206	sub-15/eeg/sub-15_task-Sleep_acq-headband_events.tsv
sub-15	psg_channels	True	252	sub-15/eeg/sub-15_task-Sleep_acq-psg_channels.tsv
sub-15	psg_sidecar	True	498	sub-15/eeg/sub-15_task-Sleep_acq-psg_eeg.json
sub-15	psg_events_json	True	1022	sub-15/eeg/sub-15_task-Sleep_acq-psg_events.json
sub-15	psg_events_tsv	True	34403	sub-15/eeg/sub-15_task-Sleep_acq-psg_events.tsv
sub-16	scan_metadata	True	93	sub-16/sub-16_scans.tsv
sub-16	headband_channels	True	70	sub-16/eeg/sub-16_task-Sleep_acq-headband_channels.tsv
sub-16	headband_sidecar	True	513	sub-16/eeg/sub-16_task-Sleep_acq-headband_eeg.json
sub-16	headband_events_json	True	837	sub-16/eeg/sub-16_task-Sleep_acq-headband_events.json
sub-16	headband_events_tsv	True	30227	sub-16/eeg/sub-16_task-Sleep_acq-headband_events.tsv
sub-16	psg_channels	True	252	sub-16/eeg/sub-16_task-Sleep_acq-psg_channels.tsv
sub-16	psg_sidecar	True	498	sub-16/eeg/sub-16_task-Sleep_acq-psg_eeg.json
sub-16	psg_events_json	True	1022	sub-16/eeg/sub-16_task-Sleep_acq-psg_events.json
sub-16	psg_events_tsv	True	32298	sub-16/eeg/sub-16_task-Sleep_acq-psg_events.tsv
sub-17	scan_metadata	True	93	sub-17/sub-17_scans.tsv
sub-17	headband_channels	True	70	sub-17/eeg/sub-17_task-Sleep_acq-headband_channels.tsv
sub-17	headband_sidecar	True	513	sub-17/eeg/sub-17_task-Sleep_acq-headband_eeg.json
sub-17	headband_events_json	True	837	sub-17/eeg/sub-17_task-Sleep_acq-headband_events.json
sub-17	headband_events_tsv	True	28998	sub-17/eeg/sub-17_task-Sleep_acq-headband_events.tsv
sub-17	psg_channels	True	252	sub-17/eeg/sub-17_task-Sleep_acq-psg_channels.tsv
sub-17	psg_sidecar	True	498	sub-17/eeg/sub-17_task-Sleep_acq-psg_eeg.json
sub-17	psg_events_json	True	1022	sub-17/eeg/sub-17_task-Sleep_acq-psg_events.json
sub-17	psg_events_tsv	True	30984	sub-17/eeg/sub-17_task-Sleep_acq-psg_events.tsv
sub-18	scan_metadata	True	93	sub-18/sub-18_scans.tsv
sub-18	headband_channels	True	237	sub-18/eeg/sub-18_task-Sleep_acq-headband_channels.tsv
