analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	train	42	1078	0.2696525215217255	0.3595678134453023	0.17350637305620142	1074	0.30635434710564563	0.44375289929055733	0.22685491381753875	-4	0.036701825583920156	0.08418508584525503	0.053348540761337326
v0.1	train	43	880	0.5505591438238172	0.6154908581943466	0.5164622280144062	876	0.6260252321520131	0.7456834372844006	0.5800908294665311	-4	0.0754660883281959	0.130192579090054	0.0636286014521249
v0.1	train	45	820	0.5534034226843788	0.615616446390579	0.5673916299490536	816	0.5760506853404233	0.6498012042163512	0.5764620234534918	-4	0.022647262656044442	0.03418475782577224	0.009070393504438279
v0.1	train	46	905	0.4276962525483623	0.467557015143222	0.5131659403856127	901	0.5059557360891617	0.5676145592011174	0.5193166661937059	-4	0.07825948354079937	0.10005754405789535	0.0061507258080931715
v0.1	train	50	899	0.44520021571850166	0.6983782963733283	0.5107677038982887	891	0.49975549454439117	0.6102098806398917	0.5874163340438641	-8	0.05455527882588951	-0.08816841573343659	0.07664863014557532
v0.1	train	51	1017	0.4008188908170217	0.40004628592758495	0.4456714206557614	1013	0.46220837672053416	0.4881171109592162	0.47786397429900795	-4	0.06138948590351245	0.08807082503163127	0.03219255364324658
v0.1	train	53	944	0.33436026283468073	0.5331170062749011	0.28242588974772787	940	0.403163314898609	0.6088522872558929	0.35084776578087706	-4	0.06880305206392828	0.0757352809809918	0.0684218760331492
v0.1	train	54	957	0.29557048180247447	0.3224213413729543	0.262403382440378	953	0.36643784388009876	0.4021945195616854	0.31814895264832943	-4	0.07086736207762429	0.07977317818873109	0.055745570207951456
v0.1	train	58	1021	0.46092725046596994	0.5291699120899047	0.3512229993269428	1017	0.5349565794016	0.63145296915631	0.4034277094855835	-4	0.07402932893563008	0.10228305706640528	0.0522047101586407
v0.1	train	59	988	0.3050988930759848	0.2872089158284793	0.1357312641098648	984	0.31637316534966303	0.3239868095522958	0.15515139323973937	-4	0.01127427227367822	0.03677789372381651	0.019420129129874564
v0.1	train	60	878	0.4899649870996017	0.5580517279214244	0.4392347665193378	874	0.5811881152807814	0.6985564081027293	0.5089261595579384	-4	0.09122312818117972	0.1405046801813049	0.06969139303860061
v0.1	train	61	1005	0.41674444873150296	0.4217811676425508	0.4177878318847481	1001	0.4603714739340524	0.4638809436140736	0.47788113131118826	-4	0.04362702520254946	0.04209977597152281	0.06009329942644015
v0.1	train	62	983	0.5248825779385577	0.6321534494015075	0.4113109403539891	979	0.6108058571805414	0.7502774897449441	0.4785669180741947	-4	0.08592327924198362	0.1181240403434366	0.06725597772020564
v0.1	train	63	971	0.27980643955751944	0.48779992287578516	0.1818963324561489	967	0.3293495867396842	0.5516150074452939	0.2307313118782236	-4	0.04954314718216474	0.06381508456950874	0.04883497942207471
v0.1	train	65	901	0.314540936559187	0.5088271589250063	0.20176823377144215	897	0.3662808834482616	0.6788245891964092	0.2345218486580759	-4	0.05173994688907457	0.1699974302714029	0.03275361488663375
