dataset	snapshot	subject	acquisition	relative_path	official_bytes	local_bytes	official_sha256	local_sha256	size_match	sha256_match	status	official_pointer_url
ds005555	1.1.1	sub-12	psg	sub-12/eeg/sub-12_task-Sleep_acq-psg_eeg.edf	171238400	171238400	2ac1b2bcd0bc2c162d4437ddc75926fddd1068c35b27723f231ffd55d2f2168f	2ac1b2bcd0bc2c162d4437ddc75926fddd1068c35b27723f231ffd55d2f2168f	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-12/eeg/sub-12_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-13	headband	sub-13/eeg/sub-13_task-Sleep_acq-headband_eeg.edf	30654208	30654208	1d871102335a1c37045010f22c885bccb7c31a438c8607fd2a0e528f15d0af6a	1d871102335a1c37045010f22c885bccb7c31a438c8607fd2a0e528f15d0af6a	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-13/eeg/sub-13_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-13	psg	sub-13/eeg/sub-13_task-Sleep_acq-psg_eeg.edf	168596992	168596992	be50b9128c68f4af8380c6b618e67a7bffc50694e0659c5d977b2c4fafd1ed0f	be50b9128c68f4af8380c6b618e67a7bffc50694e0659c5d977b2c4fafd1ed0f	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-13/eeg/sub-13_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-14	headband	sub-14/eeg/sub-14_task-Sleep_acq-headband_eeg.edf	147979264	147979264	1e890e9b4896c369e425b012e74a4e18ec76f63f9eb2af2d86d1da338b546175	1e890e9b4896c369e425b012e74a4e18ec76f63f9eb2af2d86d1da338b546175	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-14/eeg/sub-14_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-14	psg	sub-14/eeg/sub-14_task-Sleep_acq-psg_eeg.edf	131537152	131537152	1b91869759ce16683eaefd3be9a55a2fa027699f4e66ffd8e81525f0a92b90fa	1b91869759ce16683eaefd3be9a55a2fa027699f4e66ffd8e81525f0a92b90fa	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-14/eeg/sub-14_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-15	headband	sub-15/eeg/sub-15_task-Sleep_acq-headband_eeg.edf	33615616	33615616	096902099abbe3f25aa33f972c6609b5b9cc997aaa0676cef0eff2c1b15bd957	096902099abbe3f25aa33f972c6609b5b9cc997aaa0676cef0eff2c1b15bd957	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-15/eeg/sub-15_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-15	psg	sub-15/eeg/sub-15_task-Sleep_acq-psg_eeg.edf	184884736	184884736	ccf9969a28ef075e7f7d4fe4da808027b0ae7db08711ba002bd73d922643dfb8	ccf9969a28ef075e7f7d4fe4da808027b0ae7db08711ba002bd73d922643dfb8	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-15/eeg/sub-15_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-16	headband	sub-16/eeg/sub-16_task-Sleep_acq-headband_eeg.edf	31596288	31596288	7e55b0559fe8a0db410346ae343b1c901895348fe9f04544799f1c20eefae47e	7e55b0559fe8a0db410346ae343b1c901895348fe9f04544799f1c20eefae47e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-16/eeg/sub-16_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-16	psg	sub-16/eeg/sub-16_task-Sleep_acq-psg_eeg.edf	173778432	173778432	4a442c256e13b37c49cdba2d3287920e1882f0636d0d05939ecccac358160ae2	4a442c256e13b37c49cdba2d3287920e1882f0636d0d05939ecccac358160ae2	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-16/eeg/sub-16_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-17	headband	sub-17/eeg/sub-17_task-Sleep_acq-headband_eeg.edf	30339840	30339840	451f8c619ab62e121ecc8e2d1f02a73d6eb309aee2648b0eb14a73106583ffd3	451f8c619ab62e121ecc8e2d1f02a73d6eb309aee2648b0eb14a73106583ffd3	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-17/eeg/sub-17_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-17	psg	sub-17/eeg/sub-17_task-Sleep_acq-psg_eeg.edf	166867968	166867968	c1e72d5e90ee9ceb00d24b98a2a8d17179866be3351faff9963225516e05844d	c1e72d5e90ee9ceb00d24b98a2a8d17179866be3351faff9963225516e05844d	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-17/eeg/sub-17_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-18	headband	sub-18/eeg/sub-18_task-Sleep_acq-headband_eeg.edf	144790528	144790528	0738fde14bcac798a3c9695b500f24ff618ebc46f16dc314d06fd39dacf9dd64	0738fde14bcac798a3c9695b500f24ff618ebc46f16dc314d06fd39dacf9dd64	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-18/eeg/sub-18_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-18	psg	sub-18/eeg/sub-18_task-Sleep_acq-psg_eeg.edf	128702720	128702720	34ab1ed98a115096f63138251313f279a2be63d2f6be586b9ec8e2efbf028678	34ab1ed98a115096f63138251313f279a2be63d2f6be586b9ec8e2efbf028678	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-18/eeg/sub-18_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-19	headband	sub-19/eeg/sub-19_task-Sleep_acq-headband_eeg.edf	31106816	31106816	ed4bd6b2be4000d1f31154dafb2a7b80863f31b458fc7ba3b9c6adc411d14835	ed4bd6b2be4000d1f31154dafb2a7b80863f31b458fc7ba3b9c6adc411d14835	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-19/eeg/sub-19_task-Sleep_acq-headband_eeg.edf
