model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	expanded	0.98	sub-121	100	15.0	1	8	0	1	7	0	0	7.383333333333334	0.125	1.0	0.2222222222222222	0.9480812641083521
LR-OOF	train_oof	expanded	0.98	sub-122	101	15.0	0	2	0	0	2	0	0	7.241666666666666	0.0		0.0	0.27617951668584584
LR-OOF	train_oof	expanded	0.98	sub-125	104	15.0	3	4	0	0	4	3	0	8.008333333333333	0.0	0.0	0.0	0.49947970863683666
LR-OOF	train_oof	expanded	0.98	sub-128	108	15.0	1	8	0	0	8	1	0	6.716666666666667	0.0	0.0	0.0	1.1910669975186103
LR-OOF	train_oof	expanded	0.98	sub-13	91	15.0	0	2	0	0	2	0	0	8.25	0.0		0.0	0.24242424242424243
LR-OOF	train_oof	expanded	0.98	sub-14	9	15.0	3	23	1	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	expanded	0.98	sub-15	10	15.0	3	12	0	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	expanded	0.98	sub-16	11	15.0	7	12	0	1	11	6	0	8.408333333333333	0.08333333333333333	0.14285714285714285	0.10526315789473684	1.3082259663032705
LR-OOF	train_oof	expanded	0.98	sub-17	92	15.0	11	3	0	2	1	9	0	8.058333333333334	0.6666666666666666	0.18181818181818182	0.2857142857142857	0.12409513960703206
LR-OOF	train_oof	expanded	0.98	sub-19	93	15.0	2	31	0	1	30	1	0	8.375	0.03225806451612903	0.5	0.06060606060606061	3.582089552238806
LR-OOF	train_oof	expanded	0.98	sub-20	13	15.0	2	8	0	1	7	1	0	8.675	0.125	0.5	0.2	0.8069164265129682
LR-OOF	train_oof	expanded	0.98	sub-21	93	15.0	1	13	0	1	12	0	0	8.633333333333333	0.07692307692307693	1.0	0.14285714285714285	1.38996138996139
LR-OOF	train_oof	expanded	0.98	sub-22	14	15.0	2	7	0	0	7	2	0	8.558333333333334	0.0	0.0	0.0	0.8179162609542356
LR-OOF	train_oof	expanded	0.98	sub-24	16	15.0	2	18	0	1	17	1	0	7.716666666666667	0.05555555555555555	0.5	0.1	2.203023758099352
LR-OOF	train_oof	expanded	0.98	sub-27	19	15.0	3	7	1	1	6	2	0	7.875	0.14285714285714285	0.3333333333333333	0.2	0.7619047619047619
LR-OOF	train_oof	expanded	0.98	sub-28	20	15.0	1	3	0	0	3	1	0	7.1	0.0	0.0	0.0	0.4225352112676057
LR-OOF	train_oof	expanded	0.98	sub-29	21	15.0	3	72	0	2	70	1	0	9.175	0.027777777777777776	0.6666666666666666	0.05333333333333334	7.62942779291553
LR-OOF	train_oof	expanded	0.98	sub-3	1	15.0	5	21	0	4	17	1	0	8.25	0.19047619047619047	0.8	0.3076923076923077	2.0606060606060606
LR-OOF	train_oof	expanded	0.98	sub-30	94	15.0	3	2	0	1	1	2	0	6.891666666666667	0.5	0.3333333333333333	0.4	0.14510278113663846
LR-OOF	train_oof	expanded	0.98	sub-31	95	15.0	0	0	0	0	0	0	0	7.025				0.0
LR-OOF	train_oof	expanded	0.98	sub-33	84	15.0	8	4	0	2	2	6	0	7.241666666666666	0.5	0.25	0.3333333333333333	0.27617951668584584
LR-OOF	train_oof	expanded	0.98	sub-36	84	15.0	6	2	1	0	2	6	0	7.4	0.0	0.0	0.0	0.27027027027027023
LR-OOF	train_oof	expanded	0.98	sub-38	87	15.0	1	83	0	1	82	0	0	7.033333333333333	0.012048192771084338	1.0	0.023809523809523808	11.65876777251185
LR-OOF	train_oof	expanded	0.98	sub-39	85	15.0	1	4	0	0	4	1	0	7.383333333333334	0.0	0.0	0.0	0.5417607223476297
LR-OOF	train_oof	expanded	0.98	sub-42	84	15.0	6	0	0	0	0	6	0	7.391666666666667		0.0	0.0	0.0
LR-OOF	train_oof	expanded	0.98	sub-43	87	15.0	0	5	1	0	5	0	0	6.758333333333334	0.0		0.0	0.7398273736128236
LR-OOF	train_oof	expanded	0.98	sub-45	24	15.0	1	9	0	0	9	1	0	6.716666666666667	0.0	0.0	0.0	1.3399503722084367
LR-OOF	train_oof	expanded	0.98	sub-47	87	15.0	0	1	0	0	1	0	0	6.541666666666667	0.0		0.0	0.15286624203821655
LR-OOF	train_oof	expanded	0.98	sub-49	29	15.0	2	8	0	1	7	1	0	7.458333333333333	0.125	0.5	0.2	0.9385474860335196
LR-OOF	train_oof	expanded	0.98	sub-52	31	15.0	3	1	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	expanded	0.98	sub-56	78	15.0	5	7	0	1	6	4	0	7.925	0.14285714285714285	0.2	0.16666666666666666	0.7570977917981073
LR-OOF	train_oof	expanded	0.98	sub-58	78	15.0	5	8	1	3	5	2	0	8.316666666666666	0.375	0.6	0.46153846153846156	0.6012024048096193
LR-OOF	train_oof	expanded	0.98	sub-59	79	15.0	5	3	0	2	1	3	0	8.508333333333333	0.6666666666666666	0.4	0.5	0.11753183153770813
LR-OOF	train_oof	expanded	0.98	sub-60	80	15.0	0	2	0	0	2	0	0	7.141666666666667	0.0		0.0	0.28004667444574094
LR-OOF	train_oof	expanded	0.98	sub-61	79	15.0	5	120	0	3	117	2	0	7.841666666666667	0.025	0.6	0.048	14.920297555791711
LR-OOF	train_oof	expanded	0.98	sub-62	80	15.0	2	3	0	0	3	2	0	8.133333333333333	0.0	0.0	0.0	0.36885245901639346
LR-OOF	train_oof	expanded	0.98	sub-63	81	15.0	1	2	0	1	1	0	0	7.25	0.5	1.0	0.6666666666666666	0.13793103448275862
LR-OOF	train_oof	expanded	0.98	sub-64	82	15.0	2	0	0	0	0	2	0	7.216666666666667		0.0	0.0	0.0
LR-OOF	train_oof	expanded	0.98	sub-65	81	15.0	1	91	0	1	90	0	0	7.416666666666667	0.01098901098901099	1.0	0.021739130434782608	12.134831460674157
LR-OOF	train_oof	expanded	0.98	sub-66	82	15.0	2	2	0	1	1	1	0	8.85	0.5	0.5	0.5	0.11299435028248588
LR-OOF	train_oof	expanded	0.98	sub-67	32	15.0	6	40	0	6	34	0	0	7.641666666666667	0.15	1.0	0.2608695652173913	4.449291166848419
LR-OOF	train_oof	expanded	0.98	sub-68	33	15.0	2	13	0	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	expanded	0.98	sub-69	34	15.0	1	11	0	1	10	0	0	8.3	0.09090909090909091	1.0	0.16666666666666666	1.2048192771084336
LR-OOF	train_oof	expanded	0.98	sub-70	35	15.0	2	1	0	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	expanded	0.98	sub-71	36	15.0	3	20	0	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	expanded	0.98	sub-73	38	15.0	1	2	0	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	expanded	0.98	sub-74	39	15.0	2	2	0	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	expanded	0.98	sub-77	42	15.0	2	16	1	0	16	2	0	8.925	0.0	0.0	0.0	1.7927170868347337
LR-OOF	train_oof	expanded	0.98	sub-78	43	15.0	2	7	0	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
LR-OOF	train_oof	expanded	0.98	sub-8	6	15.0	0	1	0	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	expanded	0.98	sub-80	45	15.0	0	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	expanded	0.98	sub-81	46	15.0	8	14	0	4	10	4	0	7.483333333333333	0.2857142857142857	0.5	0.36363636363636365	1.3363028953229399
LR-OOF	train_oof	expanded	0.98	sub-83	50	15.0	1	6	0	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
LR-OOF	train_oof	expanded	0.98	sub-84	51	15.0	1	6	0	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	expanded	0.98	sub-86	53	15.0	0	1	0	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	expanded	0.98	sub-87	54	15.0	2	15	0	1	14	1	0	7.916666666666667	0.06666666666666667	0.5	0.11764705882352941	1.768421052631579
LR-OOF	train_oof	expanded	0.98	sub-91	58	15.0	5	3	0	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	expanded	0.98	sub-92	59	15.0	3	7	0	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	expanded	0.98	sub-93	60	15.0	3	2	0	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	expanded	0.98	sub-94	61	15.0	2	19	0	2	17	0	0	8.316666666666666	0.10526315789473684	1.0	0.19047619047619047	2.0440881763527057
LR-OOF	train_oof	expanded	0.98	sub-95	62	15.0	6	6	0	0	6	6	0	8.133333333333333	0.0	0.0	0.0	0.7377049180327869
LR-OOF	train_oof	expanded	0.98	sub-96	63	15.0	4	21	0	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	expanded	0.98	sub-98	65	15.0	7	19	0	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	expanded	0.98	sub-99	66	15.0	0	4	0	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LR-OOF	train_oof	expanded	0.98	sub-10	91	45.0	0	4	0	0	4	0	0	8.216666666666667	0.0		0.0	0.486815415821501
LR-OOF	train_oof	expanded	0.98	sub-100	67	45.0	5	15	0	3	12	2	0	8.241666666666667	0.2	0.6	0.3	1.4560161779575327
LR-OOF	train_oof	expanded	0.98	sub-101	68	45.0	5	3	0	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
LR-OOF	train_oof	expanded	0.98	sub-103	71	45.0	0	1	0	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
LR-OOF	train_oof	expanded	0.98	sub-104	72	45.0	2	1	0	1	0	1	0	6.933333333333334	1.0	0.5	0.6666666666666666	0.0
LR-OOF	train_oof	expanded	0.98	sub-107	75	45.0	1	8	0	1	7	0	0	7.875	0.125	1.0	0.2222222222222222	0.8888888888888888
LR-OOF	train_oof	expanded	0.98	sub-108	76	45.0	2	7	0	2	5	0	0	8.058333333333334	0.2857142857142857	1.0	0.4444444444444444	0.6204756980351602
LR-OOF	train_oof	expanded	0.98	sub-109	96	45.0	5	3	0	1	2	4	0	6.966666666666667	0.3333333333333333	0.2	0.25	0.28708133971291866
LR-OOF	train_oof	expanded	0.98	sub-11	8	45.0	2	57	0	2	55	0	0	8.083333333333334	0.03508771929824561	1.0	0.06779661016949153	6.804123711340206
LR-OOF	train_oof	expanded	0.98	sub-110	96	45.0	4	21	0	3	18	1	0	7.883333333333334	0.14285714285714285	0.75	0.24	2.2832980972515857
LR-OOF	train_oof	expanded	0.98	sub-111	96	45.0	5	8	0	2	6	3	0	7.95	0.25	0.4	0.3076923076923077	0.7547169811320754
LR-OOF	train_oof	expanded	0.98	sub-115	98	45.0	1	2	0	0	2	1	0	6.983333333333333	0.0	0.0	0.0	0.2863961813842482
LR-OOF	train_oof	expanded	0.98	sub-116	98	45.0	2	10	0	2	8	0	0	7.083333333333333	0.2	1.0	0.3333333333333333	1.1294117647058823
LR-OOF	train_oof	expanded	0.98	sub-117	98	45.0	5	3	0	0	3	5	0	6.55	0.0	0.0	0.0	0.4580152671755725
LR-OOF	train_oof	expanded	0.98	sub-118	99	45.0	2	5	0	1	4	1	0	7.258333333333334	0.2	0.5	0.2857142857142857	0.5510907003444316
LR-OOF	train_oof	expanded	0.98	sub-119	99	45.0	3	2	0	1	1	2	0	7.425	0.5	0.3333333333333333	0.4	0.13468013468013468
LR-OOF	train_oof	expanded	0.98	sub-12	92	45.0	9	6	0	3	3	6	0	8.266666666666667	0.5	0.3333333333333333	0.4	0.36290322580645157
LR-OOF	train_oof	expanded	0.98	sub-120	99	45.0	2	3	1	1	2	1	0	6.516666666666667	0.3333333333333333	0.5	0.4	0.3069053708439898
LR-OOF	train_oof	expanded	0.98	sub-121	100	45.0	1	8	0	1	7	0	0	7.383333333333334	0.125	1.0	0.2222222222222222	0.9480812641083521
LR-OOF	train_oof	expanded	0.98	sub-122	101	45.0	0	2	0	0	2	0	0	7.241666666666666	0.0		0.0	0.27617951668584584
LR-OOF	train_oof	expanded	0.98	sub-125	104	45.0	3	4	0	1	3	2	0	8.008333333333333	0.25	0.3333333333333333	0.2857142857142857	0.37460978147762747
LR-OOF	train_oof	expanded	0.98	sub-128	108	45.0	1	8	0	1	7	0	0	6.716666666666667	0.125	1.0	0.2222222222222222	1.0421836228287842
LR-OOF	train_oof	expanded	0.98	sub-13	91	45.0	0	2	0	0	2	0	0	8.25	0.0		0.0	0.24242424242424243
LR-OOF	train_oof	expanded	0.98	sub-14	9	45.0	3	23	1	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	expanded	0.98	sub-15	10	45.0	3	12	0	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	expanded	0.98	sub-16	11	45.0	7	12	0	1	11	6	0	8.408333333333333	0.08333333333333333	0.14285714285714285	0.10526315789473684	1.3082259663032705
LR-OOF	train_oof	expanded	0.98	sub-17	92	45.0	11	3	0	2	1	9	0	8.058333333333334	0.6666666666666666	0.18181818181818182	0.2857142857142857	0.12409513960703206
LR-OOF	train_oof	expanded	0.98	sub-19	93	45.0	2	31	0	2	29	0	0	8.375	0.06451612903225806	1.0	0.12121212121212122	3.462686567164179
LR-OOF	train_oof	expanded	0.98	sub-20	13	45.0	2	8	0	1	7	1	0	8.675	0.125	0.5	0.2	0.8069164265129682
LR-OOF	train_oof	expanded	0.98	sub-21	93	45.0	1	13	0	1	12	0	0	8.633333333333333	0.07692307692307693	1.0	0.14285714285714285	1.38996138996139
LR-OOF	train_oof	expanded	0.98	sub-22	14	45.0	2	7	0	0	7	2	0	8.558333333333334	0.0	0.0	0.0	0.8179162609542356
LR-OOF	train_oof	expanded	0.98	sub-24	16	45.0	2	18	0	2	16	0	0	7.716666666666667	0.1111111111111111	1.0	0.2	2.073434125269978
LR-OOF	train_oof	expanded	0.98	sub-27	19	45.0	3	7	1	2	5	1	0	7.875	0.2857142857142857	0.6666666666666666	0.4	0.6349206349206349
LR-OOF	train_oof	expanded	0.98	sub-28	20	45.0	1	3	0	0	3	1	0	7.1	0.0	0.0	0.0	0.4225352112676057
LR-OOF	train_oof	expanded	0.98	sub-29	21	45.0	3	72	0	3	69	0	0	9.175	0.041666666666666664	1.0	0.08	7.5204359673024515
LR-OOF	train_oof	expanded	0.98	sub-3	1	45.0	5	21	0	4	17	1	0	8.25	0.19047619047619047	0.8	0.3076923076923077	2.0606060606060606
LR-OOF	train_oof	expanded	0.98	sub-30	94	45.0	3	2	0	1	1	2	0	6.891666666666667	0.5	0.3333333333333333	0.4	0.14510278113663846
LR-OOF	train_oof	expanded	0.98	sub-31	95	45.0	0	0	0	0	0	0	0	7.025				0.0
LR-OOF	train_oof	expanded	0.98	sub-33	84	45.0	8	4	0	2	2	6	0	7.241666666666666	0.5	0.25	0.3333333333333333	0.27617951668584584
LR-OOF	train_oof	expanded	0.98	sub-36	84	45.0	6	2	1	0	1	6	1	7.4	0.0	0.0	0.0	0.13513513513513511
LR-OOF	train_oof	expanded	0.98	sub-38	87	45.0	1	83	0	1	82	0	0	7.033333333333333	0.012048192771084338	1.0	0.023809523809523808	11.65876777251185
LR-OOF	train_oof	expanded	0.98	sub-39	85	45.0	1	4	0	0	4	1	0	7.383333333333334	0.0	0.0	0.0	0.5417607223476297
LR-OOF	train_oof	expanded	0.98	sub-42	84	45.0	6	0	0	0	0	6	0	7.391666666666667		0.0	0.0	0.0
LR-OOF	train_oof	expanded	0.98	sub-43	87	45.0	0	5	1	0	5	0	0	6.758333333333334	0.0		0.0	0.7398273736128236
LR-OOF	train_oof	expanded	0.98	sub-45	24	45.0	1	9	0	1	8	0	0	6.716666666666667	0.1111111111111111	1.0	0.2	1.1910669975186103
LR-OOF	train_oof	expanded	0.98	sub-47	87	45.0	0	1	0	0	1	0	0	6.541666666666667	0.0		0.0	0.15286624203821655
LR-OOF	train_oof	expanded	0.98	sub-49	29	45.0	2	8	0	2	6	0	0	7.458333333333333	0.25	1.0	0.4	0.8044692737430168
LR-OOF	train_oof	expanded	0.98	sub-52	31	45.0	3	1	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	expanded	0.98	sub-56	78	45.0	5	7	0	1	6	4	0	7.925	0.14285714285714285	0.2	0.16666666666666666	0.7570977917981073
LR-OOF	train_oof	expanded	0.98	sub-58	78	45.0	5	8	1	4	4	1	0	8.316666666666666	0.5	0.8	0.6153846153846154	0.4809619238476954
LR-OOF	train_oof	expanded	0.98	sub-59	79	45.0	5	3	0	2	1	3	0	8.508333333333333	0.6666666666666666	0.4	0.5	0.11753183153770813
LR-OOF	train_oof	expanded	0.98	sub-60	80	45.0	0	2	0	0	2	0	0	7.141666666666667	0.0		0.0	0.28004667444574094
LR-OOF	train_oof	expanded	0.98	sub-61	79	45.0	5	120	0	4	116	1	0	7.841666666666667	0.03333333333333333	0.8	0.064	14.792773645058448
LR-OOF	train_oof	expanded	0.98	sub-62	80	45.0	2	3	0	0	3	2	0	8.133333333333333	0.0	0.0	0.0	0.36885245901639346
LR-OOF	train_oof	expanded	0.98	sub-63	81	45.0	1	2	0	1	1	0	0	7.25	0.5	1.0	0.6666666666666666	0.13793103448275862
LR-OOF	train_oof	expanded	0.98	sub-64	82	45.0	2	0	0	0	0	2	0	7.216666666666667		0.0	0.0	0.0
LR-OOF	train_oof	expanded	0.98	sub-65	81	45.0	1	91	0	1	90	0	0	7.416666666666667	0.01098901098901099	1.0	0.021739130434782608	12.134831460674157
LR-OOF	train_oof	expanded	0.98	sub-66	82	45.0	2	2	0	1	1	1	0	8.85	0.5	0.5	0.5	0.11299435028248588
LR-OOF	train_oof	expanded	0.98	sub-67	32	45.0	6	40	0	6	34	0	0	7.641666666666667	0.15	1.0	0.2608695652173913	4.449291166848419
LR-OOF	train_oof	expanded	0.98	sub-68	33	45.0	2	13	0	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	expanded	0.98	sub-69	34	45.0	1	11	0	1	10	0	0	8.3	0.09090909090909091	1.0	0.16666666666666666	1.2048192771084336
LR-OOF	train_oof	expanded	0.98	sub-70	35	45.0	2	1	0	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	expanded	0.98	sub-71	36	45.0	3	20	0	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	expanded	0.98	sub-73	38	45.0	1	2	0	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	expanded	0.98	sub-74	39	45.0	2	2	0	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	expanded	0.98	sub-77	42	45.0	2	16	1	1	15	1	0	8.925	0.0625	0.5	0.1111111111111111	1.6806722689075628
LR-OOF	train_oof	expanded	0.98	sub-78	43	45.0	2	7	0	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
LR-OOF	train_oof	expanded	0.98	sub-8	6	45.0	0	1	0	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	expanded	0.98	sub-80	45	45.0	0	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	expanded	0.98	sub-81	46	45.0	8	14	0	5	9	3	0	7.483333333333333	0.35714285714285715	0.625	0.45454545454545453	1.2026726057906458
LR-OOF	train_oof	expanded	0.98	sub-83	50	45.0	1	6	0	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
LR-OOF	train_oof	expanded	0.98	sub-84	51	45.0	1	6	0	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	expanded	0.98	sub-86	53	45.0	0	1	0	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	expanded	0.98	sub-87	54	45.0	2	15	0	1	14	1	0	7.916666666666667	0.06666666666666667	0.5	0.11764705882352941	1.768421052631579
LR-OOF	train_oof	expanded	0.98	sub-91	58	45.0	5	3	0	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	expanded	0.98	sub-92	59	45.0	3	7	0	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	expanded	0.98	sub-93	60	45.0	3	2	0	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	expanded	0.98	sub-94	61	45.0	2	19	0	2	17	0	0	8.316666666666666	0.10526315789473684	1.0	0.19047619047619047	2.0440881763527057
LR-OOF	train_oof	expanded	0.98	sub-95	62	45.0	6	6	0	1	5	5	0	8.133333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.6147540983606558
LR-OOF	train_oof	expanded	0.98	sub-96	63	45.0	4	21	0	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	expanded	0.98	sub-98	65	45.0	7	19	0	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	expanded	0.98	sub-99	66	45.0	0	4	0	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LC-1	train_oof	primary	0.99	sub-10	91	15.0	0	2	0	0	2	0	0	8.216666666666667	0.0		0.0	0.2434077079107505
LC-1	train_oof	primary	0.99	sub-100	67	15.0	4	4	1	2	1	2	1	8.241666666666667	0.6666666666666666	0.5	0.5714285714285714	0.12133468149646107
LC-1	train_oof	primary	0.99	sub-101	68	15.0	5	2	0	1	1	4	0	7.733333333333333	0.5	0.2	0.2857142857142857	0.12931034482758622
LC-1	train_oof	primary	0.99	sub-103	71	15.0	0	1	0	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
LC-1	train_oof	primary	0.99	sub-104	72	15.0	1	1	1	0	0	1	1	6.933333333333334		0.0	0.0	0.0
LC-1	train_oof	primary	0.99	sub-107	75	15.0	1	10	0	0	10	1	0	7.875	0.0	0.0	0.0	1.2698412698412698
LC-1	train_oof	primary	0.99	sub-108	76	15.0	1	7	1	1	6	0	0	8.058333333333334	0.14285714285714285	1.0	0.25	0.7445708376421923
LC-1	train_oof	primary	0.99	sub-109	96	15.0	5	1	0	0	1	5	0	6.966666666666667	0.0	0.0	0.0	0.14354066985645933
LC-1	train_oof	primary	0.99	sub-11	8	15.0	0	5	2	0	5	0	0	8.083333333333334	0.0		0.0	0.6185567010309277
LC-1	train_oof	primary	0.99	sub-110	96	15.0	0	0	4	0	0	0	0	7.883333333333334				0.0
LC-1	train_oof	primary	0.99	sub-111	96	15.0	5	0	0	0	0	5	0	7.95		0.0	0.0	0.0
LC-1	train_oof	primary	0.99	sub-115	98	15.0	1	1	0	0	1	1	0	6.983333333333333	0.0	0.0	0.0	0.1431980906921241
LC-1	train_oof	primary	0.99	sub-116	98	15.0	1	2	1	0	2	1	0	7.083333333333333	0.0	0.0	0.0	0.2823529411764706
LC-1	train_oof	primary	0.99	sub-117	98	15.0	4	0	1	0	0	4	0	6.55		0.0	0.0	0.0
LC-1	train_oof	primary	0.99	sub-118	99	15.0	2	3	0	1	2	1	0	7.258333333333334	0.3333333333333333	0.5	0.4	0.2755453501722158
LC-1	train_oof	primary	0.99	sub-119	99	15.0	3	2	0	1	1	2	0	7.425	0.5	0.3333333333333333	0.4	0.13468013468013468
LC-1	train_oof	primary	0.99	sub-12	92	15.0	9	21	0	2	19	7	0	8.266666666666667	0.09523809523809523	0.2222222222222222	0.13333333333333333	2.2983870967741935
LC-1	train_oof	primary	0.99	sub-120	99	15.0	2	5	1	2	3	0	0	6.516666666666667	0.4	1.0	0.5714285714285714	0.46035805626598464
LC-1	train_oof	primary	0.99	sub-121	100	15.0	0	0	1	0	0	0	0	7.383333333333334				0.0
LC-1	train_oof	primary	0.99	sub-122	101	15.0	0	0	0	0	0	0	0	7.241666666666666				0.0
LC-1	train_oof	primary	0.99	sub-125	104	15.0	3	11	0	1	10	2	0	8.008333333333333	0.09090909090909091	0.3333333333333333	0.14285714285714285	1.2486992715920917
LC-1	train_oof	primary	0.99	sub-128	108	15.0	1	4	0	0	4	1	0	6.716666666666667	0.0	0.0	0.0	0.5955334987593052
LC-1	train_oof	primary	0.99	sub-13	91	15.0	0	0	0	0	0	0	0	8.25				0.0
LC-1	train_oof	primary	0.99	sub-14	9	15.0	3	3	1	1	2	2	0	8.725	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.22922636103151864
LC-1	train_oof	primary	0.99	sub-15	10	15.0	3	11	0	3	8	0	0	8.991666666666667	0.2727272727272727	1.0	0.42857142857142855	0.8897126969416126
LC-1	train_oof	primary	0.99	sub-16	11	15.0	6	10	1	1	9	5	0	8.408333333333333	0.1	0.16666666666666666	0.125	1.070366699702676
LC-1	train_oof	primary	0.99	sub-17	92	15.0	10	14	1	4	10	6	0	8.058333333333334	0.2857142857142857	0.4	0.3333333333333333	1.2409513960703205
LC-1	train_oof	primary	0.99	sub-19	93	15.0	0	0	2	0	0	0	0	8.375				0.0
LC-1	train_oof	primary	0.99	sub-20	13	15.0	2	6	0	1	5	1	0	8.675	0.16666666666666666	0.5	0.25	0.5763688760806917
LC-1	train_oof	primary	0.99	sub-21	93	15.0	0	1	1	0	1	0	0	8.633333333333333	0.0		0.0	0.11583011583011583
LC-1	train_oof	primary	0.99	sub-22	14	15.0	1	0	1	0	0	1	0	8.558333333333334		0.0	0.0	0.0
LC-1	train_oof	primary	0.99	sub-24	16	15.0	2	5	0	1	4	1	0	7.716666666666667	0.2	0.5	0.2857142857142857	0.5183585313174945
LC-1	train_oof	primary	0.99	sub-27	19	15.0	3	8	1	1	7	2	0	7.875	0.125	0.3333333333333333	0.18181818181818182	0.8888888888888888
LC-1	train_oof	primary	0.99	sub-28	20	15.0	1	4	0	0	4	1	0	7.1	0.0	0.0	0.0	0.5633802816901409
LC-1	train_oof	primary	0.99	sub-29	21	15.0	0	0	3	0	0	0	0	9.175				0.0
LC-1	train_oof	primary	0.99	sub-3	1	15.0	4	12	1	3	8	1	1	8.25	0.2727272727272727	0.75	0.4	0.9696969696969697
LC-1	train_oof	primary	0.99	sub-30	94	15.0	2	3	1	1	2	1	0	6.891666666666667	0.3333333333333333	0.5	0.4	0.29020556227327693
LC-1	train_oof	primary	0.99	sub-31	95	15.0	0	2	0	0	2	0	0	7.025	0.0		0.0	0.2846975088967971
LC-1	train_oof	primary	0.99	sub-33	84	15.0	8	6	0	1	5	7	0	7.241666666666666	0.16666666666666666	0.125	0.14285714285714285	0.6904487917146145
LC-1	train_oof	primary	0.99	sub-36	84	15.0	6	7	1	2	5	4	0	7.4	0.2857142857142857	0.3333333333333333	0.3076923076923077	0.6756756756756757
LC-1	train_oof	primary	0.99	sub-38	87	15.0	0	5	1	0	5	0	0	7.033333333333333	0.0		0.0	0.7109004739336493
