model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	0.98	sub-39	85	45.0	0	4	1	0	4	0	0	7.383333333333334	0.0		0.0	0.5417607223476297
LR-OOF	train_oof	primary	0.98	sub-42	84	45.0	6	0	0	0	0	6	0	7.391666666666667		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-43	87	45.0	0	5	1	0	5	0	0	6.758333333333334	0.0		0.0	0.7398273736128236
LR-OOF	train_oof	primary	0.98	sub-45	24	45.0	1	9	0	1	8	0	0	6.716666666666667	0.1111111111111111	1.0	0.2	1.1910669975186103
LR-OOF	train_oof	primary	0.98	sub-47	87	45.0	0	1	0	0	1	0	0	6.541666666666667	0.0		0.0	0.15286624203821655
LR-OOF	train_oof	primary	0.98	sub-49	29	45.0	2	8	0	2	6	0	0	7.458333333333333	0.25	1.0	0.4	0.8044692737430168
LR-OOF	train_oof	primary	0.98	sub-52	31	45.0	3	1	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	primary	0.98	sub-56	78	45.0	3	7	2	0	6	3	1	7.925	0.0	0.0	0.0	0.7570977917981073
LR-OOF	train_oof	primary	0.98	sub-58	78	45.0	4	8	2	4	4	0	0	8.316666666666666	0.5	1.0	0.6666666666666666	0.4809619238476954
LR-OOF	train_oof	primary	0.98	sub-59	79	45.0	4	3	1	2	1	2	0	8.508333333333333	0.6666666666666666	0.5	0.5714285714285714	0.11753183153770813
LR-OOF	train_oof	primary	0.98	sub-60	80	45.0	0	2	0	0	2	0	0	7.141666666666667	0.0		0.0	0.28004667444574094
LR-OOF	train_oof	primary	0.98	sub-61	79	45.0	0	120	5	0	116	0	4	7.841666666666667	0.0		0.0	14.792773645058448
LR-OOF	train_oof	primary	0.98	sub-62	80	45.0	2	3	0	0	3	2	0	8.133333333333333	0.0	0.0	0.0	0.36885245901639346
LR-OOF	train_oof	primary	0.98	sub-63	81	45.0	1	2	0	1	1	0	0	7.25	0.5	1.0	0.6666666666666666	0.13793103448275862
LR-OOF	train_oof	primary	0.98	sub-64	82	45.0	2	0	0	0	0	2	0	7.216666666666667		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-65	81	45.0	0	91	1	0	90	0	1	7.416666666666667	0.0		0.0	12.134831460674157
LR-OOF	train_oof	primary	0.98	sub-66	82	45.0	2	2	0	1	1	1	0	8.85	0.5	0.5	0.5	0.11299435028248588
LR-OOF	train_oof	primary	0.98	sub-67	32	45.0	5	40	1	5	34	0	1	7.641666666666667	0.1282051282051282	1.0	0.22727272727272727	4.449291166848419
LR-OOF	train_oof	primary	0.98	sub-68	33	45.0	2	13	0	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	primary	0.98	sub-69	34	45.0	0	11	1	0	10	0	1	8.3	0.0		0.0	1.2048192771084336
LR-OOF	train_oof	primary	0.98	sub-70	35	45.0	2	1	0	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	primary	0.98	sub-71	36	45.0	3	20	0	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	primary	0.98	sub-73	38	45.0	1	2	0	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	primary	0.98	sub-74	39	45.0	2	2	0	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	primary	0.98	sub-77	42	45.0	0	16	3	0	15	0	1	8.925	0.0		0.0	1.6806722689075628
LR-OOF	train_oof	primary	0.98	sub-78	43	45.0	2	7	0	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
LR-OOF	train_oof	primary	0.98	sub-8	6	45.0	0	1	0	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	primary	0.98	sub-80	45	45.0	0	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	primary	0.98	sub-81	46	45.0	5	14	3	2	9	3	3	7.483333333333333	0.18181818181818182	0.4	0.25	1.2026726057906458
LR-OOF	train_oof	primary	0.98	sub-83	50	45.0	1	6	0	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
